"","ros_entity_number","FSCSKEY","FSCS_SEQ","ros_entity_name","ros_physical_state","ros_latitude","ros_longitude","LIBNAME","STABR","LOCALE_TOP_LEVEL_DESCR","LATITUDE","LONGITUD","POPU_LSA"
"3547",NA,"MO0053",5,NA,NA,NA,NA,"DULANY MEMORIAL LIBRARY","MO","Rural",39.48063732,-92.00029418,NA
"3548",NA,"MO0054",2,NA,NA,NA,NA,"LIVINGSTON COUNTY LIBRARY","MO","Town",39.7918,-93.55274,NA
"3549",NA,"MO0055",2,NA,NA,NA,NA,"MARYVILLE PUBLIC LIBRARY","MO","Town",40.34993786,-94.87279925,NA
"3550",NA,"MO0056",2,NA,NA,NA,NA,"MITCHELL MEMORIAL LIBRARY","MO","Town",36.77754164,-89.38169906,NA
"3551",NA,"MO0056",3,NA,NA,NA,NA,"CLARA DRINKWATER NEWNAM LIBRARY","MO","Town",36.92085273,-89.34993365,NA
"3552",NA,"MO0057",2,NA,NA,NA,NA,"MERCER COUNTY LIBRARY","MO","Rural",40.40046414,-93.58688581,NA
"3553",NA,"MO0058",2,NA,NA,NA,NA,"NORTH KANSAS CITY PUBLIC LIBRARY","MO","Suburban",39.14481385,-94.57253517,NA
"3554",NA,"MO0059",4,NA,NA,NA,NA,"KNOX COUNTY LIBRARY","MO","Rural",40.16734897,-92.17275716,19104
"3555",NA,"MO0059",5,NA,NA,NA,NA,"LABELLE LIBRARY","MO","Rural",40.11682733,-91.91160181,19104
"3556",NA,"MO0059",6,NA,NA,NA,NA,"LAGRANGE LIBRARY","MO","Rural",40.04266792,-91.49814561,19104
"3557",NA,"MO0059",15,NA,NA,NA,NA,"H.E. SEVER MEMORIAL LIBRARY","MO","Rural",40.422422,-91.72094281,19104
"3558",NA,"MO0060",3,NA,NA,NA,NA,"ANNAPOLIS BRANCH","MO","Rural",37.36052184,-90.69787202,NA
"3559",NA,"MO0060",5,NA,NA,NA,NA,"FREDERICKTOWN BRANCH","MO","Town",37.55907356,-90.29445379,NA
"3560",NA,"MO0060",9,NA,NA,NA,NA,"VIBURNUM BRANCH","MO","Rural",37.71427704,-91.13520302,NA
"3561",NA,"MO0060",10,NA,NA,NA,NA,"OZARK REGIONAL LIBRARY","MO","Town",37.60415571,-90.62822461,NA
"3562",NA,"MO0061",2,NA,NA,NA,NA,"PUTNAM COUNTY PUBLIC LIBRARY","MO","Rural",40.47679859,-93.00186653,NA
"3563",NA,"MO0062",2,NA,NA,NA,NA,"RAY COUNTY LIBRARY","MO","Town",39.27688226,-93.97422076,NA
"3564",NA,"MO0065",2,NA,NA,NA,NA,"SCENIC REGIONAL LIBRARY BOOKMOBILE","MO","Town",38.46179401,-91.00427299,NA
"3565",NA,"MO0065",3,NA,NA,NA,NA,"HERMANN BRANCH","MO","Rural",38.70236696,-91.43803263,NA
"3566",NA,"MO0065",4,NA,NA,NA,NA,"NEW HAVEN BRANCH","MO","Rural",38.60218264,-91.22483632,NA
"3567",NA,"MO0065",5,NA,NA,NA,NA,"OWENSVILLE BRANCH","MO","Town",38.34268893,-91.49459019,NA
"3568",NA,"MO0065",6,NA,NA,NA,NA,"PACIFIC BRANCH","MO","Town",38.48201557,-90.7685126,NA
"3569",NA,"MO0065",7,NA,NA,NA,NA,"ST. CLAIR BRANCH","MO","Town",38.34377979,-90.98177454,NA
"3570",NA,"MO0065",8,NA,NA,NA,NA,"WARRENTON BRANCH","MO","Town",38.79931088,-91.14680133,NA
"3571",NA,"MO0065",9,NA,NA,NA,NA,"UNION BRANCH","MO","Town",38.46179401,-91.00427299,NA
"3572",NA,"MO0065",10,NA,NA,NA,NA,"SULLIVAN BRANCH","MO","Town",38.21801856,-91.15698618,NA
"3573",NA,"MO0065",11,NA,NA,NA,NA,"WRIGHT CITY BRANCH","MO","Town",38.8331332,-91.04041727,NA
"3574",NA,"MO0067",2,NA,NA,NA,NA,"SULLIVAN COUNTY PUBLIC LIBRARY","MO","Rural",40.20279749,-93.12510899,NA
"3575",NA,"MO0068",5,NA,NA,NA,NA,"WASHINGTON COUNTY LIBRARY BOOKMOBILE","MO","Town",37.93447755,-90.78482756,NA
"3576",NA,"MO0069",2,NA,NA,NA,NA,"DE SOTO PUBLIC LIBRARY","MO","Town",38.13254146,-90.55628399,NA
"3577",NA,"MO0072",2,NA,NA,NA,NA,"CARROLLTON PUBLIC LIBRARY","MO","Town",39.35856608,-93.49702561,NA
"3578",NA,"MO0073",2,NA,NA,NA,NA,"FERGUSON MUNICIPAL PUBLIC LIBRARY DISTRICT","MO","Suburban",38.74588953,-90.30551538,NA
"3579",NA,"MO0074",2,NA,NA,NA,NA,"WELLSVILLE PUBLIC LIBRARY","MO","Rural",39.07141826,-91.56908377,NA
"3580",NA,"MO0075",2,NA,NA,NA,NA,"FARMINGTON PUBLIC LIBRARY","MO","Town",37.78166104,-90.42432559,NA
"3581",NA,"MO0076",2,NA,NA,NA,NA,"KIRKWOOD PUBLIC LIBRARY","MO","Suburban",38.58218606,-90.40450172,NA
"3582",NA,"MO0077",2,NA,NA,NA,NA,"CRYSTAL CITY PUBLIC LIBRARY","MO","Rural",38.22755389,-90.37789303,NA
"3583",NA,"MO0078",2,NA,NA,NA,NA,"BRENTWOOD PUBLIC LIBRARY","MO","Suburban",38.61792745,-90.348046,NA
"3584",NA,"MO0079",2,NA,NA,NA,NA,"RICHMOND HEIGHTS MEMORIAL LIBRARY","MO","Suburban",38.62768751,-90.33117499,NA
"3585",NA,"MO0080",2,NA,NA,NA,NA,"PARK HILLS PUBLIC LIBRARY","MO","Town",37.85028674,-90.52137957,NA
"3586",NA,"MO0080",3,NA,NA,NA,NA,"PARK HILLS PUBLIC LIBRARY BOOKMOBILE","MO","Town",37.85028674,-90.52137957,NA
"3587",NA,"MO0081",2,NA,NA,NA,NA,"MONROE CITY PUBLIC LIBRARY","MO","Rural",39.65426106,-91.73445831,NA
"3588",NA,"MO0082",2,NA,NA,NA,NA,"FESTUS PUBLIC LIBRARY","MO","Suburban",38.21975445,-90.39436051,NA
"3589",NA,"MO0083",2,NA,NA,NA,NA,"VALLEY PARK COMMUNITY LIBRARY","MO","Suburban",38.55151378,-90.48711158,NA
"3590",NA,"MO0084",2,NA,NA,NA,NA,"CITY OF WEBSTER GROVES MUNICIPAL LIBRARY","MO","Suburban",38.59208601,-90.35047105,NA
"3591",NA,"MO0087",2,NA,NA,NA,NA,"DALLAS COUNTY LIBRARY","MO","Town",37.64407758,-93.09394893,NA
"3592",NA,"MO0088",2,NA,NA,NA,NA,"HENRY COUNTY LIBRARY","MO","Town",38.37202609,-93.7743733,NA
"3593",NA,"MO0088",4,NA,NA,NA,NA,"LENORA BLACKMORE BRANCH","MO","Town",38.53255693,-93.52236015,NA
"3594",NA,"MO0089",3,NA,NA,NA,NA,"HOWARD COUNTY PUBLIC LIBRARY","MO","Town",39.14532653,-92.68197621,NA
"3595",NA,"MO0090",2,NA,NA,NA,NA,"SEDALIA PUBLIC LIBRARY","MO","Town",38.70867342,-93.23045191,NA
"3596",NA,"MO0091",3,NA,NA,NA,NA,"FARBER BRANCH","MO","Rural",39.27274312,-91.57543708,NA
"3597",NA,"MO0091",4,NA,NA,NA,NA,"LADDONIA BRANCH","MO","Rural",39.24162747,-91.64416265,NA
"3598",NA,"MO0091",5,NA,NA,NA,NA,"VANDALIA BRANCH","MO","Town",39.30802207,-91.48630571,NA
"3599",NA,"MO0091",7,NA,NA,NA,NA,"MARTINSBURG BRANCH","MO","Rural",39.1005735,-91.64551144,NA
"3600",NA,"MO0091",11,NA,NA,NA,NA,"MEXICO BRANCH","MO","Town",39.17221915,-91.88496467,NA
"3601",NA,"MO0092",2,NA,NA,NA,NA,"CENTRALIA PUBLIC LIBRARY","MO","Town",39.2087798,-92.13388758,NA
"3602",NA,"MO0094",2,NA,NA,NA,NA,"ROLLA PUBLIC LIBRARY","MO","Town",37.9509712,-91.77154763,NA
"3603",NA,"MO0095",2,NA,NA,NA,NA,"CAMDEN COUNTY LIBRARY","MO","Town",38.00255935,-92.73919963,NA
"3604",NA,"MO0095",4,NA,NA,NA,NA,"MACKS CREEK BRANCH","MO","Rural",37.968064,-92.9667766,NA
"3605",NA,"MO0095",5,NA,NA,NA,NA,"OSAGE BEACH BRANCH","MO","Town",38.1487788,-92.62370505,NA
"3606",NA,"MO0095",6,NA,NA,NA,NA,"STOUTLAND BRANCH","MO","Rural",37.81318148,-92.51590254,NA
"3607",NA,"MO0095",7,NA,NA,NA,NA,"SUNRISE BEACH BRANCH","MO","Rural",38.15339287,-92.77266999,NA
"3608",NA,"MO0095",9,NA,NA,NA,NA,"CLIMAX SPRINGS BRANCH","MO","Rural",38.09655636,-93.04843285,NA
"3609",NA,"MO0096",2,NA,NA,NA,NA,"NORBORNE PUBLIC LIBRARY","MO","Rural",39.30271876,-93.67575175,NA
"3610",NA,"MO0098",2,NA,NA,NA,NA,"ALBANY CARNEGIE PUBLIC LIBRARY","MO","Rural",40.24790474,-94.33202065,NA
"3611",NA,"MO0099",2,NA,NA,NA,NA,"CANTON PUBLIC LIBRARY","MO","Rural",40.13027982,-91.51882593,NA
"3612",NA,"MO0100",2,NA,NA,NA,NA,"LOUISIANA PUBLIC LIBRARY","MO","Town",39.45049067,-91.04783265,NA
"3613",NA,"MO0101",2,NA,NA,NA,NA,"MACON PUBLIC LIBRARY","MO","Town",39.73883231,-92.46982586,NA
"3614",NA,"MO0102",2,NA,NA,NA,NA,"CARNEGIE PUBLIC LIBRARY","MO","Rural",39.69310211,-92.04054986,NA
"3615",NA,"MO0103",2,NA,NA,NA,NA,"SWEET SPRINGS PUBLIC LIBRARY","MO","Rural",38.96388857,-93.4185037,NA
"3616",NA,"MO0104",2,NA,NA,NA,NA,"ROBERTSON MEMORIAL LIBRARY","MO","Town",39.07499679,-93.71734987,NA
"3617",NA,"MO0105",2,NA,NA,NA,NA,"SALEM PUBLIC LIBRARY","MO","Town",37.64573599,-91.53842754,NA
"3618",NA,"MO0106",2,NA,NA,NA,NA,"PINEVILLE LIBRARY","MO","Rural",36.59700747,-94.38381302,NA
"3619",NA,"MO0106",3,NA,NA,NA,NA,"NOEL COMMUNITY LIBRARY","MO","Rural",36.53696896,-94.48544044,NA
"3620",NA,"MO0106",4,NA,NA,NA,NA,"ANNE CROXDALE MEMORIAL LIBRARY","MO","Rural",36.51494571,-94.61133148,NA
"3621",NA,"MO0107",2,NA,NA,NA,NA,"WILLOW SPRINGS PUBLIC LIBRARY","MO","Rural",36.99236571,-91.96875655,NA
"3622",NA,"MO0108",2,NA,NA,NA,NA,"WEST PLAINS PUBLIC LIBRARY","MO","Town",36.73121293,-91.85996439,NA
"3623",NA,"MO0109",2,NA,NA,NA,NA,"NEVADA PUBLIC LIBRARY","MO","Town",37.83932023,-94.35826313,NA
"3624",NA,"MO0110",2,NA,NA,NA,NA,"CHRISTIAN COUNTY LIBRARY BOOKMOBILE","MO","Suburban",37.02893424,-93.20208277,NA
"3625",NA,"MO0110",3,NA,NA,NA,NA,"CHRISTIAN COUNTY LIBRARY","MO","Suburban",37.02893424,-93.20208277,NA
"3626",NA,"MO0110",4,NA,NA,NA,NA,"CLEVER PUBLIC LIBRARY","MO","Rural",37.03735101,-93.47611602,NA
"3627",NA,"MO0110",5,NA,NA,NA,NA,"NIXA BRANCH OF THE CHRISTIAN COUNTY LIBRARY","MO","Suburban",37.04793078,-93.30192543,NA
"3628",NA,"MO0111",2,NA,NA,NA,NA,"DOUGLAS COUNTY PUBLIC LIBRARY","MO","Town",36.95079007,-92.66070751,NA
"3629",NA,"MO0112",2,NA,NA,NA,NA,"SEYMOUR COMMUNITY LIBRARY","MO","Rural",37.14940348,-92.76356498,NA
"3630",NA,"MO0113",2,NA,NA,NA,NA,"SAINT CLAIR COUNTY LIBRARY","MO","Rural",38.04800267,-93.7040172,NA
"3631",NA,"MO0113",3,NA,NA,NA,NA,"SAINT CLAIR COUNTY LIBRARY BOOKMOBILE","MO","Rural",38.04800267,-93.7040172,NA
"3632",NA,"MO0113",4,NA,NA,NA,NA,"LOWRY CITY BRANCH","MO","Rural",38.13988044,-93.73180799,NA
"3633",NA,"MO0114",2,NA,NA,NA,NA,"WEBB CITY PUBLIC LIBRARY","MO","Suburban",37.1448309,-94.46519039,NA
"3634",NA,"MO0115",3,NA,NA,NA,NA,"LILBOURN MEMORIAL LIBRARY","MO","Rural",36.59146423,-89.61522397,NA
"3635",NA,"MO0116",2,NA,NA,NA,NA,"HOUSTON BRANCH","MO","Rural",37.32795616,-91.95715348,NA
"3636",NA,"MO0116",3,NA,NA,NA,NA,"CABOOL BRANCH","MO","Rural",37.12288578,-92.09772411,NA
"3637",NA,"MO0116",4,NA,NA,NA,NA,"LICKING BRANCH","MO","Rural",37.49803277,-91.85700211,NA
"3638",NA,"MO0116",5,NA,NA,NA,NA,"SUMMERSVILLE BRANCH","MO","Rural",37.1790545,-91.65763378,NA
"3639",NA,"MO0117",2,NA,NA,NA,NA,"BONNE TERRE MEMORIAL LIBRARY","MO","Town",37.92127257,-90.55108771,NA
"3640",NA,"MO0118",1,NA,NA,NA,NA,"DULANY MEMORIAL LIBRARY","MO","Rural",39.42063537,-92.80157457,NA
"3641",NA,"MO0119",2,NA,NA,NA,NA,"LA PLATA PUBLIC LIBRARY","MO","Rural",40.02341013,-92.49131121,NA
"3642",NA,"MO0120",1,NA,NA,NA,NA,"MOUND CITY PUBLIC LIBRARY","MO","Rural",40.13212678,-95.23103105,NA
"3643",NA,"MO0121",1,NA,NA,NA,NA,"CARTHAGE PUBLIC LIBRARY","MO","Town",37.17444286,-94.31406771,NA
"3644",NA,"MO0122",4,NA,NA,NA,NA,"BOLLINGER COUNTY LIBRARY","MO","Rural",37.30904505,-89.9745747,NA
"3645",NA,"MO0123",1,NA,NA,NA,NA,"CARUTHERSVILLE PUBLIC LIBRARY","MO","Town",36.18472273,-89.66479503,NA
"3646",NA,"MO0124",1,NA,NA,NA,NA,"STEELE PUBLIC LIBRARY","MO","Rural",36.08380901,-89.82950526,NA
"3647",NA,"MO0125",1,NA,NA,NA,NA,"POPLAR BLUFF MUNICIPAL LIBRARY DISTRICT","MO","Town",36.75805527,-90.39247587,NA
"3648",NA,"MO0126",1,NA,NA,NA,NA,"DUNKLIN COUNTY LIBRARY","MO","Town",36.2378109,-90.05686421,NA
"3649",NA,"MO0126",4,NA,NA,NA,NA,"CAMPBELL BRANCH LIBRARY","MO","Rural",36.49244055,-90.07645017,NA
"3650",NA,"MO0126",5,NA,NA,NA,NA,"CARDWELL BRANCH LIBRARY","MO","Rural",36.04830299,-90.29322751,NA
"3651",NA,"MO0126",6,NA,NA,NA,NA,"CLARKTON BRANCH LIBRARY","MO","Rural",36.4504382,-89.96726217,NA
"3652",NA,"MO0126",7,NA,NA,NA,NA,"HOLCOMB BRANCH LIBRARY","MO","Rural",36.40511009,-90.02725763,NA
"3653",NA,"MO0126",8,NA,NA,NA,NA,"HORNERSVILLE BRANCH LIBRARY","MO","Rural",36.04288733,-90.11494132,NA
"3654",NA,"MO0126",9,NA,NA,NA,NA,"MALDEN BRANCH LIBRARY","MO","Rural",36.57379415,-89.97528295,NA
"3655",NA,"MO0126",10,NA,NA,NA,NA,"SENATH BRANCH LIBRARY","MO","Rural",36.13424526,-90.15914884,NA
"3656",NA,"MO0127",1,NA,NA,NA,NA,"SIKESTON PUBLIC LIBRARY","MO","Town",36.87864436,-89.58964005,NA
"3657",NA,"MO0128",1,NA,NA,NA,NA,"RIVERSIDE REGIONAL LIBRARY","MO","Suburban",37.37050199,-89.64623277,NA
"3658",NA,"MO0128",3,NA,NA,NA,NA,"ALTENBURG BRANCH","MO","Rural",37.62934287,-89.58899027,NA
"3659",NA,"MO0128",4,NA,NA,NA,NA,"BENTON BRANCH","MO","Rural",37.09853771,-89.56260617,NA
"3660",NA,"MO0128",6,NA,NA,NA,NA,"PERRYVILLE BRANCH","MO","Town",37.72422325,-89.85369099,NA
"3661",NA,"MO0128",7,NA,NA,NA,NA,"SCOTT CITY BRANCH","MO","Town",37.2149689,-89.53432229,NA
"3662",NA,"MO0128",8,NA,NA,NA,NA,"ORAN BRANCH","MO","Rural",37.08600312,-89.65542412,NA
"3663",NA,"MO0130",2,NA,NA,NA,NA,"CHAFFEE PUBLIC LIBRARY","MO","Town",37.18162312,-89.65696451,NA
"3664",NA,"MO0132",2,NA,NA,NA,NA,"PORTAGEVILLE BRANCH","MO","Town",36.42534555,-89.69885611,NA
"3665",NA,"MO0132",3,NA,NA,NA,NA,"MATTHEWS BRANCH","MO","Rural",36.75915271,-89.58580494,NA
"3666",NA,"MO0132",4,NA,NA,NA,NA,"MOREHOUSE BRANCH","MO","Rural",36.8451973,-89.68485026,NA
"3667",NA,"MO0132",5,NA,NA,NA,NA,"NEW MADRID MEMORIAL LIBRARY","MO","Town",36.58628308,-89.52635118,NA
"3668",NA,"MO0132",6,NA,NA,NA,NA,"PARMA BRANCH","MO","Rural",36.61167199,-89.81690751,NA
"3669",NA,"MO0132",7,NA,NA,NA,NA,"RHODES MEMORIAL LIBRARY","MO","Rural",36.45306974,-89.91971678,NA
"3670",NA,"MO0132",8,NA,NA,NA,NA,"RISCO BRANCH","MO","Rural",36.5516201,-89.82174303,NA
"3671",NA,"MO0137",2,NA,NA,NA,NA,"CENTERVILLE LIBRARY","MO","Rural",37.43486996,-90.95872037,6696
"3672",NA,"MO0137",3,NA,NA,NA,NA,"BUNKER LIBRARY","MO","Rural",37.45600914,-91.21131715,6696
"3673",NA,"MO0137",4,NA,NA,NA,NA,"ELLINGTON LIBRARY","MO","Rural",37.24108151,-90.96994902,6696
"3674",NA,"MO0137",5,NA,NA,NA,NA,"LESTERVILLE LIBRARY","MO","Rural",37.45380734,-90.84574838,6696
"3675",NA,"MO0137",6,NA,NA,NA,NA,"OATES LIBRARY","MO","Rural",37.56322717,-91.05415538,6696
"3676",NA,"MO0138",2,NA,NA,NA,NA,"DONIPHAN-RIPLEY COUNTY LIBRARY","MO","Rural",36.61837018,-90.82513546,NA
"3677",NA,"MO0138",4,NA,NA,NA,NA,"NAYLOR LIBRARY","MO","Rural",36.57386219,-90.60547889,NA
"3678",NA,"MO0139",2,NA,NA,NA,NA,"WORTH COUNTY LIBRARY","MO","Rural",40.48450302,-94.40729007,NA
"3679",NA,"MO0140",2,NA,NA,NA,NA,"MARSHALL PUBLIC LIBRARY","MO","Town",39.12260868,-93.19722261,NA
"3680",NA,"MO0141",1,NA,NA,NA,NA,"JAMES MEMORIAL LIBRARY","MO","Town",37.99376371,-91.61625846,NA
"3681",NA,"MO0143",2,NA,NA,NA,NA,"CARTER COUNTY PUBLIC LIBRARY","MO","Rural",36.99709841,-91.0153957,NA
"3682",NA,"MO0143",5,NA,NA,NA,NA,"ELLSINORE BRANCH","MO","Rural",36.93049879,-90.75027349,NA
"3683",NA,"MO0143",6,NA,NA,NA,NA,"GRANDIN BRANCH","MO","Rural",36.82879141,-90.82456956,NA
"3684",NA,"MO0144",2,NA,NA,NA,NA,"WINONA PUBLIC LIBRARY","MO","Rural",37.008651,-91.3260525,NA
"3685",NA,"MO0145",2,NA,NA,NA,NA,"CLARENCE PUBLIC LIBRARY","MO","Rural",39.74305961,-92.26117136,NA
"3686",NA,"MO0151",2,NA,NA,NA,NA,"BOWLING GREEN PUBLIC LIBRARY","MO","Town",39.34438776,-91.19526547,NA
"3687",NA,"MO0160",2,NA,NA,NA,NA,"BLOOMFIELD PUBLIC LIBRARY","MO","Rural",36.88525283,-89.93026043,NA
"3688",NA,"MO0164",2,NA,NA,NA,NA,"KOSHKONONG PUBLIC LIBRARY","MO","Rural",36.59609492,-91.64521756,10881
"3689",NA,"MO0164",4,NA,NA,NA,NA,"MYRTLE PUBLIC LIBRARY","MO","Rural",36.50855443,-91.28682193,10881
"3690",NA,"MO0164",5,NA,NA,NA,NA,"THAYER PUBLIC LIBRARY","MO","Town",36.52483321,-91.53964627,10881
"3691",NA,"MO0164",6,NA,NA,NA,NA,"THOMASVILLE PUBLIC LIBRARY","MO","Rural",36.9957,-91.4927,10881
"3692",NA,"MO0164",10,NA,NA,NA,NA,"ALTON PUBLIC LIBRARY","MO","Rural",36.69446394,-91.39764232,10881
"3693",NA,"MO0166",2,NA,NA,NA,NA,"PUXICO PUBLIC LIBRARY","MO","Rural",36.95050739,-90.15713019,NA
"3694",NA,"MO0168",2,NA,NA,NA,NA,"BERNIE PUBLIC LIBRARY","MO","Rural",36.66944846,-89.96962409,NA
"3695",NA,"MO0169",2,NA,NA,NA,NA,"RALLS COUNTY LIBRARY","MO","Rural",39.50954201,-91.52917744,NA
"3696",NA,"MO0172",3,NA,NA,NA,NA,"MONITEAU COUNTY LIBRARY","MO","Town",38.62854875,-92.56651868,NA
"3697",NA,"MO0174",2,NA,NA,NA,NA,"MILLER COUNTY LIBRARY SERVICE CENTER - IBERIA","MO","Rural",38.09051233,-92.29295025,33924
"3698",NA,"MO0174",3,NA,NA,NA,NA,"MILLER COUNTY LIBRARY SERVICE CENTER - ELDON","MO","Town",38.34951986,-92.57916154,33924
"3699",NA,"MO0174",4,NA,NA,NA,NA,"HEARTLAND REGIONAL LIBRARY SYSTEM BELLE BRANCH","MO","Rural",38.28752314,-91.72101465,33924
"3700",NA,"MO0174",8,NA,NA,NA,NA,"MARIES COUNTY LIBRARY SERVICE CENTER - VIENNA","MO","Rural",38.18501068,-91.94753476,33924
"3701",NA,"MO0175",2,NA,NA,NA,NA,"MISSOURI RIVER REGIONAL LIBRARY","MO","City",38.57446276,-92.16831499,89868
"3702",NA,"MO0175",3,NA,NA,NA,NA,"BOOKMOBILE","MO","City",38.57446276,-92.16831499,89868
"3703",NA,"MO0175",4,NA,NA,NA,NA,"OSAGE COUNTY LIBRARY","MO","Rural",38.47996124,-91.84250396,89868
"3704",NA,"MO0178",2,NA,NA,NA,NA,"STOCKTON BRANCH","MO","Rural",37.69885727,-93.7882236,NA
"3705",NA,"MO0178",5,NA,NA,NA,NA,"EL DORADO SPRINGS BRANCH","MO","Town",37.86947031,-94.02195905,NA
"3706",NA,"MO0179",2,NA,NA,NA,NA,"DADE COUNTY LIBRARY","MO","Rural",37.41286459,-93.84036361,NA
"3707",NA,"MO0180",2,NA,NA,NA,NA,"HICKORY COUNTY LIBRARY","MO","Rural",37.94645998,-93.34346377,NA
"3708",NA,"MO0181",2,NA,NA,NA,NA,"POLK COUNTY LIBRARY","MO","Town",37.6119767,-93.42876521,NA
"3709",NA,"MO0181",4,NA,NA,NA,NA,"HUMANSVILLE BRANCH","MO","Rural",37.79512254,-93.57765236,NA
"3710",NA,"MO0181",5,NA,NA,NA,NA,"MORRISVILLE BRANCH","MO","Rural",37.47992991,-93.42787152,NA
"3711",NA,"MO0181",6,NA,NA,NA,NA,"FAIR PLAY BRANCH","MO","Rural",37.63238819,-93.5743371,NA
"3712",NA,"MO0190",1,NA,NA,NA,NA,"GARST MEMORIAL LIBRARY","MO","Town",37.33732202,-92.90824812,NA
"3713",NA,"MO0190",3,NA,NA,NA,NA,"ROGERSVILLE BRANCH LIBRARY","MO","Town",37.1191772,-93.05694417,NA
"3714",NA,"MO0198",1,NA,NA,NA,NA,"LEBANON-LACLEDE COUNTY LIBRARY","MO","Town",37.67355909,-92.65475598,NA
"3715",NA,"MO0199",4,NA,NA,NA,NA,"CROCKER LIBRARY","MO","Rural",37.94887504,-92.2639126,50781
"3716",NA,"MO0199",5,NA,NA,NA,NA,"WAYNESVILLE LIBRARY","MO","Town",37.82606844,-92.20952516,50781
"3717",NA,"MO0199",6,NA,NA,NA,NA,"RICHLAND LIBRARY","MO","Rural",37.85803899,-92.40453256,50781
"3718",NA,"MO0205",2,NA,NA,NA,NA,"SCHUYLER COUNTY LIBRARY DISTRICT","MO","Rural",40.52287736,-92.52690392,NA
"3719",NA,"MO0206",5,NA,NA,NA,NA,"ROLLING HILLS CONSOLIDATED LIBRARY","MO","City",39.78359582,-94.80321937,NA
"3720",NA,"MO0227",1,NA,NA,NA,NA,"DOWNTOWN LIBRARY","MO","City",39.76665752,-94.84847698,NA
"3721",NA,"MO0227",2,NA,NA,NA,NA,"CARNEGIE LIBRARY","MO","City",39.71673252,-94.86624896,NA
"3722",NA,"MO0227",3,NA,NA,NA,NA,"EAST HILLS LIBRARY","MO","City",39.77137196,-94.79671948,NA
"3723",NA,"MO0227",4,NA,NA,NA,NA,"WASHINGTON PARK LIBRARY","MO","City",39.78078199,-94.85676249,NA
"3724",NA,"MO0228",1,NA,NA,NA,NA,"ADVANCE COMMUNITY LIBRARY","MO","Rural",37.10425127,-89.90957169,NA
"3725",NA,"MO0229",1,NA,NA,NA,NA,"CALDWELL COUNTY LIBRARY","MO","Rural",39.64027799,-94.03896752,NA
"3726",NA,"MO0232",1,NA,NA,NA,NA,"ADRIAN COMMUNITY LIBRARY","MO","Rural",38.39747327,-94.35151351,NA
"3727",NA,"MO0233",1,NA,NA,NA,NA,"PRICE JAMES MEMORIAL LIBRARY","MO","Town",38.65542956,-92.77969034,NA
"3728",NA,"MO0234",4,NA,NA,NA,NA,"BOURBON BRANCH","MO","Town",38.15450749,-91.244829,NA
"3729",NA,"MO0234",5,NA,NA,NA,NA,"CUBA-RECKLEIN MEMORIAL BRANCH","MO","Town",38.06375688,-91.40784671,NA
"3730",NA,"MO0234",6,NA,NA,NA,NA,"STEELVILLE MAIN LIBRARY","MO","Rural",37.96700149,-91.35852822,NA
"3731",NA,"MP0001",3,NA,NA,NA,NA,"ANTONIO C. ATALIG MEMORIAL LIBRARY","MP","Rural",14.1417217,145.1429174,53883
"3732",NA,"MP0001",4,NA,NA,NA,NA,"TINIAN PUBLIC LIBRARY","MP","Town",14.96839003,145.6219201,53883
"3733",NA,"MP0001",6,NA,NA,NA,NA,"JKPL DIGITAL LITERACY BOOKMOBILE OUTREACH PROGRAM","MP","Town",15.15775645,145.7046133,53883
"3734",NA,"MS0013",15,NA,NA,NA,NA,"FIRST REGIONAL LIBRARY WORDS ON WHEELS BOOKWAGON","MS","Suburban",34.82358733,-89.99492242,NA
"3735",NA,"MS0023",2,NA,NA,NA,NA,"UNION PUBLIC LIBRARY","MS","Rural",32.5718979,-89.11840261,NA
"3736",NA,"MS0023",4,NA,NA,NA,NA,"JESSIE MAE EVERETT PUBLIC LIBRARY","MS","Rural",32.4387988,-89.11624002,NA
"3737",NA,"MS0023",7,NA,NA,NA,NA,"J. ELLIOTT MCMULLAN LIBRARY","MS","Town",32.32230974,-89.16548883,NA
"3738",NA,"MS0023",8,NA,NA,NA,NA,"SCOOBA PUBLIC LIBRARY","MS","Rural",32.83091276,-88.4759184,NA
"3739",NA,"MS0025",4,NA,NA,NA,NA,"LEE COUNTY LIBRARY BOOKMOBILE","MS","Town",34.25839115,-88.71127589,NA
"3740",NA,"MS0029",7,NA,NA,NA,NA,"LIBRARY ON WHEELS","MS","Suburban",32.45779734,-90.11147205,NA
"3741",NA,"MS0031",3,NA,NA,NA,NA,"RUTH B. FRENCH LIBRARY","MS","Rural",34.86778,-89.68819,NA
"3742",NA,"MS0035",5,NA,NA,NA,NA,"BLUE MOUNTAIN LIBRARY","MS","Rural",34.67062403,-89.02760612,NA
"3743",NA,"MS0035",7,NA,NA,NA,NA,"CHALYBEATE LIBRARY","MS","Rural",34.9305164,-88.86890647,NA
"3744",NA,"MS0035",10,NA,NA,NA,NA,"MARIETTA LIBRARY","MS","Rural",34.50527711,-88.46963412,NA
"3745",NA,"MS0035",14,NA,NA,NA,NA,"WALNUT PUBLIC LIBRARY","MS","Rural",34.94663717,-88.90035821,NA
"3746",NA,"MS0048",9,NA,NA,NA,NA,"ALFRED RANKINS MEMORIAL LIBRARY","MS","Town",33.44770196,-91.00333363,NA
