"","ros_entity_number","FSCSKEY","FSCS_SEQ","ros_entity_name","ros_entity_type","is_school_library_independent","ros_subtype","ros_status","ros_physical_address","ros_physical_city","ros_physical_state","ros_physical_zipcode","ros_physical_zipcode_ext","ros_physical_county","ros_latitude","ros_longitude","ros_congressional_district","ros_urban_rural_status","ros_number_of_full_time_students","ros_total_number_of_part_time_students","ros_peak_number_of_part_time_students","ros_number_of_nslp_students","billed_entity_number","organization_name","organization_entity_type_name","org_address1","org_city","org_state","org_zipcode","org_congressional_district","funding_year","application_number","funding_request_number","form_471_line_item_number","is_certified_in_window","form_471_status_name","form_471_frn_status_name","pending_reason","spin_name","spin_number","chosen_category_of_service","form_471_service_type_name","form_471_function_name","form_471_product_name","upload_speed","form_471_upload_speed_unit_name","download_speed","form_471_download_speed_unit_name","total_monthly_cost","monthly_recur_ineligible_cost","monthly_recurring_unit_eligible_costs","monthly_quantity","total_monthly_eligible_recurring_costs","months_of_service","total_eligible_recurring_costs","total_one_time_cost","one_time_ineligible_cost","one_time_eligible_costs","one_time_quantity","total_eligible_one_time_costs","pre_discount_extended_eligible_line_item_costs","dis_pct","post_discount_extended_eligible_line_item_costs","post_discount_applicant_share","ros_square_footage","qty_allocation","tribal_type","form_471_frn_fiber_type_name","form_471_frn_fiber_sub_type_name","ros_physical_address_2","original_allocation","count_ros","cat1_discount_by_ros_estimated","cat2_discount_by_ros","MOST_RECENT_PLS","form_471_purpose_name","form_version","connection_directly_school","connection_supports_service","download_speed_mbps","upload_speed_mbps","speed_tier","gigabit_binary","POPU_LSA","LOCALE_ADD","LOCALE","LOCALE_ADD_DESCR","LOCALE_TOP_LEVEL_DESCR","speed_benchmark","pop_category"
"11",11582,"NY0004",58,"walt whitman branch library","library","No","public library","Active","93 Saint Edwards St","Brooklyn","NY",11205,2932,"Kings",40.6942768,-73.9779891,"Congressional District 8","Urban",NA,NA,NA,NA,123803,"Brooklyn Public Library","library system","10 Grand Army Plz","Brooklyn","NY",11238,"Congressional District 8",2022,221030401,2299043900,2299043900.001,"In-Window","Committed","Funded","FCDL Issued","Crown Castle Fiber LLC",143005274,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps",6500,0,6500,2,13000,12,156000,0,0,0,0,0,156000,0.9,140400,15600,9825,NA,NA,NA,NA,NA,2600,60,2340,NA,2020,"Data connection(s) for an applicant’s hub site to an Internet Service Provider or state/regional network where Internet access service is billed separately","Current","No","Yes",10000,10000,"gigabit","gigabit",2504700,NA,11,"City Large","City","benchmark met","over50"
"12",11598,"NY0004",12,"bushwick branch library","library","No","public library","Active","340 Bushwick Ave","Brooklyn","NY",11206,3403,"Kings",40.7045307,-73.9395971,"Congressional District 7","Urban",NA,NA,NA,NA,123803,"Brooklyn Public Library","library system","10 Grand Army Plz","Brooklyn","NY",11238,"Congressional District 8",2022,221030401,2299043900,2299043900.001,"In-Window","Committed","Funded","FCDL Issued","Crown Castle Fiber LLC",143005274,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps",6500,0,6500,2,13000,12,156000,0,0,0,0,0,156000,0.9,140400,15600,10640,NA,NA,NA,NA,NA,2600,60,2340,NA,2020,"Data connection(s) for an applicant’s hub site to an Internet Service Provider or state/regional network where Internet access service is billed separately","Current","No","Yes",10000,10000,"gigabit","gigabit",2504700,NA,11,"City Large","City","benchmark met","over50"
"13",11628,"NY0004",4,"arlington branch library","library","No","public library","Active","203 Arlington Ave","Brooklyn","NY",11207,2212,"Kings",40.6804566,-73.8872887,"Congressional District 7","Urban",NA,NA,NA,NA,123803,"Brooklyn Public Library","library system","10 Grand Army Plz","Brooklyn","NY",11238,"Congressional District 8",2022,221030401,2299043900,2299043900.001,"In-Window","Committed","Funded","FCDL Issued","Crown Castle Fiber LLC",143005274,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps",6500,0,6500,2,13000,12,156000,0,0,0,0,0,156000,0.9,140400,15600,17400,NA,NA,NA,NA,NA,2600,60,2340,NA,2020,"Data connection(s) for an applicant’s hub site to an Internet Service Provider or state/regional network where Internet access service is billed separately","Current","No","Yes",10000,10000,"gigabit","gigabit",2504700,NA,11,"City Large","City","benchmark met","over50"
"14",11641,"NY0004",44,"new lots branch library","library","No","public library","Active","665 New Lots Ave","Brooklyn","NY",11207,7302,"Kings",40.6656095,-73.8849494,"Congressional District 8","Urban",NA,NA,NA,NA,123803,"Brooklyn Public Library","library system","10 Grand Army Plz","Brooklyn","NY",11238,"Congressional District 8",2022,221030401,2299043900,2299043900.001,"In-Window","Committed","Funded","FCDL Issued","Crown Castle Fiber LLC",143005274,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps",6500,0,6500,2,13000,12,156000,0,0,0,0,0,156000,0.9,140400,15600,25629,NA,NA,NA,NA,NA,2600,60,2340,NA,2020,"Data connection(s) for an applicant’s hub site to an Internet Service Provider or state/regional network where Internet access service is billed separately","Current","No","Yes",10000,10000,"gigabit","gigabit",2504700,NA,11,"City Large","City","benchmark met","over50"
"15",11650,"NY0004",54,"spring creek branch library","library","No","public library","Active","12143 Flatlands Ave","Brooklyn","NY",11207,9004,"Kings",40.6532637,-73.8859641,"Congressional District 8","Urban",NA,NA,NA,NA,123803,"Brooklyn Public Library","library system","10 Grand Army Plz","Brooklyn","NY",11238,"Congressional District 8",2022,221030401,2299043900,2299043900.001,"In-Window","Committed","Funded","FCDL Issued","Crown Castle Fiber LLC",143005274,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps",6500,0,6500,2,13000,12,156000,0,0,0,0,0,156000,0.9,140400,15600,7500,NA,NA,NA,NA,NA,2600,60,2340,NA,2020,"Data connection(s) for an applicant’s hub site to an Internet Service Provider or state/regional network where Internet access service is billed separately","Current","No","Yes",10000,10000,"gigabit","gigabit",2504700,NA,11,"City Large","City","benchmark met","over50"
"16",11671,"NY0004",20,"cypress hills branch library","library","No","public library","Active","465 Fountain Ave","Brooklyn","NY",11208,6054,"Kings",40.6687054,-73.8730255,"Congressional District 8","Urban",NA,NA,NA,NA,123803,"Brooklyn Public Library","library system","10 Grand Army Plz","Brooklyn","NY",11238,"Congressional District 8",2022,221030401,2299043900,2299043900.001,"In-Window","Committed","Funded","FCDL Issued","Crown Castle Fiber LLC",143005274,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps",6500,0,6500,2,13000,12,156000,0,0,0,0,0,156000,0.9,140400,15600,7500,NA,NA,NA,NA,NA,2600,60,2340,NA,2020,"Data connection(s) for an applicant’s hub site to an Internet Service Provider or state/regional network where Internet access service is billed separately","Current","No","Yes",10000,10000,"gigabit","gigabit",2504700,NA,11,"City Large","City","benchmark met","over50"
"17",11677,"NY0004",5,"bay ridge branch library","library","No","public library","Active","7223 Ridge Blvd","Brooklyn","NY",11209,2111,"Kings",40.6336082,-74.0295134,"Congressional District 11","Urban",NA,NA,NA,NA,123803,"Brooklyn Public Library","library system","10 Grand Army Plz","Brooklyn","NY",11238,"Congressional District 8",2022,221030401,2299043900,2299043900.001,"In-Window","Committed","Funded","FCDL Issued","Crown Castle Fiber LLC",143005274,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps",6500,0,6500,2,13000,12,156000,0,0,0,0,0,156000,0.9,140400,15600,15880,NA,NA,NA,NA,NA,2600,60,2340,NA,2020,"Data connection(s) for an applicant’s hub site to an Internet Service Provider or state/regional network where Internet access service is billed separately","Current","No","Yes",10000,10000,"gigabit","gigabit",2504700,NA,11,"City Large","City","benchmark met","over50"
"18",11688,"NY0004",27,"fort hamilton branch library","library","No","public library","Active","9424 4th Ave","Brooklyn","NY",11209,7301,"Kings",40.6163648,-74.0312717,"Congressional District 11","Urban",NA,NA,NA,NA,123803,"Brooklyn Public Library","library system","10 Grand Army Plz","Brooklyn","NY",11238,"Congressional District 8",2022,221030401,2299043900,2299043900.001,"In-Window","Committed","Funded","FCDL Issued","Crown Castle Fiber LLC",143005274,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps",6500,0,6500,2,13000,12,156000,0,0,0,0,0,156000,0.9,140400,15600,4836,NA,NA,NA,NA,NA,2600,60,2340,NA,2020,"Data connection(s) for an applicant’s hub site to an Internet Service Provider or state/regional network where Internet access service is billed separately","Current","No","Yes",10000,10000,"gigabit","gigabit",2504700,NA,11,"City Large","City","benchmark met","over50"
"19",11698,"NY0004",15,"clarendon branch library","library","No","public library","Active","2035 Nostrand Ave","Brooklyn","NY",11210,2549,"Kings",40.6357369,-73.9479582,"Congressional District 9","Urban",NA,NA,NA,NA,123803,"Brooklyn Public Library","library system","10 Grand Army Plz","Brooklyn","NY",11238,"Congressional District 8",2022,221030401,2299043900,2299043900.001,"In-Window","Committed","Funded","FCDL Issued","Crown Castle Fiber LLC",143005274,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps",6500,0,6500,2,13000,12,156000,0,0,0,0,0,156000,0.9,140400,15600,7800,NA,NA,NA,NA,NA,2600,60,2340,NA,2020,"Data connection(s) for an applicant’s hub site to an Internet Service Provider or state/regional network where Internet access service is billed separately","Current","No","Yes",10000,10000,"gigabit","gigabit",2504700,NA,11,"City Large","City","benchmark met","over50"
"20",11702,"NY0004",7,"borough park branch library","library","No","public library","Active","1265 E 43rd St","Brooklyn","NY",11210,4410,"Kings",40.625908,-73.934417,"Congressional District 9","Urban",NA,NA,NA,NA,123803,"Brooklyn Public Library","library system","10 Grand Army Plz","Brooklyn","NY",11238,"Congressional District 8",2022,221030401,2299043900,2299043900.001,"In-Window","Committed","Funded","FCDL Issued","Crown Castle Fiber LLC",143005274,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps",6500,0,6500,2,13000,12,156000,0,0,0,0,0,156000,0.9,140400,15600,18615,NA,NA,NA,NA,NA,2600,60,2340,NA,2020,"Data connection(s) for an applicant’s hub site to an Internet Service Provider or state/regional network where Internet access service is billed separately","Current","No","Yes",10000,10000,"gigabit","gigabit",2504700,NA,11,"City Large","City","benchmark met","over50"
"21",11716,"NY0004",37,"leonard branch library","library","No","public library","Active","81 Devoe St","Brooklyn","NY",11211,3601,"Kings",40.7134447,-73.9479362,"Congressional District 12","Urban",NA,NA,NA,NA,123803,"Brooklyn Public Library","library system","10 Grand Army Plz","Brooklyn","NY",11238,"Congressional District 8",2022,221030401,2299043900,2299043900.001,"In-Window","Committed","Funded","FCDL Issued","Crown Castle Fiber LLC",143005274,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps",6500,0,6500,2,13000,12,156000,0,0,0,0,0,156000,0.9,140400,15600,10688,NA,NA,NA,NA,NA,2600,60,2340,NA,2020,"Data connection(s) for an applicant’s hub site to an Internet Service Provider or state/regional network where Internet access service is billed separately","Current","No","Yes",10000,10000,"gigabit","gigabit",2504700,NA,11,"City Large","City","benchmark met","over50"
"22",11735,"NY0004",60,"williamsburg branch library","library","No","public library","Active","240 Division Ave","Brooklyn","NY",11211,7323,"Kings",40.7068708,-73.9572643,"Congressional District 7","Urban",NA,NA,NA,NA,123803,"Brooklyn Public Library","library system","10 Grand Army Plz","Brooklyn","NY",11238,"Congressional District 8",2022,221030401,2299043900,2299043900.001,"In-Window","Committed","Funded","FCDL Issued","Crown Castle Fiber LLC",143005274,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps",6500,0,6500,2,13000,12,156000,0,0,0,0,0,156000,0.9,140400,15600,26000,NA,NA,NA,NA,NA,2600,60,2340,NA,2020,"Data connection(s) for an applicant’s hub site to an Internet Service Provider or state/regional network where Internet access service is billed separately","Current","No","Yes",10000,10000,"gigabit","gigabit",2504700,NA,11,"City Large","City","benchmark met","over50"
"23",11750,"NY0004",23,"east flatbush branch library","library","No","public library","Active","9612 Church Ave","Brooklyn","NY",11212,2436,"Kings",40.655941,-73.9150851,"Congressional District 9","Urban",NA,NA,NA,NA,123803,"Brooklyn Public Library","library system","10 Grand Army Plz","Brooklyn","NY",11238,"Congressional District 8",2022,221030401,2299043900,2299043900.001,"In-Window","Committed","Funded","FCDL Issued","Crown Castle Fiber LLC",143005274,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps",6500,0,6500,2,13000,12,156000,0,0,0,0,0,156000,0.9,140400,15600,16000,NA,NA,NA,NA,NA,2600,60,2340,NA,2020,"Data connection(s) for an applicant’s hub site to an Internet Service Provider or state/regional network where Internet access service is billed separately","Current","No","Yes",10000,10000,"gigabit","gigabit",2504700,NA,11,"City Large","City","benchmark met","over50"
"24",11764,"NY0004",55,"stone avenue branch library","library","No","public library","Active","581 Mother Gaston Blvd","Brooklyn","NY",11212,5920,"Kings",40.6644738,-73.9051607,"Congressional District 9","Urban",NA,NA,NA,NA,123803,"Brooklyn Public Library","library system","10 Grand Army Plz","Brooklyn","NY",11238,"Congressional District 8",2022,221030401,2299043900,2299043900.001,"In-Window","Committed","Funded","FCDL Issued","Crown Castle Fiber LLC",143005274,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps",6500,0,6500,2,13000,12,156000,0,0,0,0,0,156000,0.9,140400,15600,14252,NA,NA,NA,NA,NA,2600,60,2340,NA,2020,"Data connection(s) for an applicant’s hub site to an Internet Service Provider or state/regional network where Internet access service is billed separately","Current","No","Yes",10000,10000,"gigabit","gigabit",2504700,NA,11,"City Large","City","benchmark met","over50"
"25",11766,"NY0004",11,"brownsville branch library","library","No","public library","Active","61 Glenmore Ave","Brooklyn","NY",11212,6701,"Kings",40.6713447,-73.9083882,"Congressional District 8","Urban",NA,NA,NA,NA,123803,"Brooklyn Public Library","library system","10 Grand Army Plz","Brooklyn","NY",11238,"Congressional District 8",2022,221030401,2299043900,2299043900.001,"In-Window","Committed","Funded","FCDL Issued","Crown Castle Fiber LLC",143005274,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps",6500,0,6500,2,13000,12,156000,0,0,0,0,0,156000,0.9,140400,15600,10550,NA,NA,NA,NA,NA,2600,60,2340,NA,2020,"Data connection(s) for an applicant’s hub site to an Internet Service Provider or state/regional network where Internet access service is billed separately","Current","No","Yes",10000,10000,"gigabit","gigabit",2504700,NA,11,"City Large","City","benchmark met","over50"
"26",11784,"NY0004",24,"eastern parkway branch library","library","No","public library","Active","1044 Eastern Pkwy","Brooklyn","NY",11213,4802,"Kings",40.6684861,-73.93364,"Congressional District 9","Urban",NA,NA,NA,NA,123803,"Brooklyn Public Library","library system","10 Grand Army Plz","Brooklyn","NY",11238,"Congressional District 8",2022,221030401,2299043900,2299043900.001,"In-Window","Committed","Funded","FCDL Issued","Crown Castle Fiber LLC",143005274,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps",6500,0,6500,2,13000,12,156000,0,0,0,0,0,156000,0.9,140400,15600,12000,NA,NA,NA,NA,NA,2600,60,2340,NA,2020,"Data connection(s) for an applicant’s hub site to an Internet Service Provider or state/regional network where Internet access service is billed separately","Current","No","Yes",10000,10000,"gigabit","gigabit",2504700,NA,11,"City Large","City","benchmark met","over50"
"27",11799,"NY0004",45,"new utrecht branch library","library","No","public library","Active","1743 86th St","Brooklyn","NY",11214,3714,"Kings",40.6078039,-74.0035571,"Congressional District 11","Urban",NA,NA,NA,NA,123803,"Brooklyn Public Library","library system","10 Grand Army Plz","Brooklyn","NY",11238,"Congressional District 8",2022,221030401,2299043900,2299043900.001,"In-Window","Committed","Funded","FCDL Issued","Crown Castle Fiber LLC",143005274,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps",6500,0,6500,2,13000,12,156000,0,0,0,0,0,156000,0.9,140400,15600,23250,NA,NA,NA,NA,NA,2600,60,2340,NA,2020,"Data connection(s) for an applicant’s hub site to an Internet Service Provider or state/regional network where Internet access service is billed separately","Current","No","Yes",10000,10000,"gigabit","gigabit",2504700,NA,11,"City Large","City","benchmark met","over50"
"28",11805,"NY0004",57,"ulmer park branch library","library","No","public library","Active","2602 Bath Ave","Brooklyn","NY",11214,5502,"Kings",40.5928226,-73.988435,"Congressional District 10","Urban",NA,NA,NA,NA,123803,"Brooklyn Public Library","library system","10 Grand Army Plz","Brooklyn","NY",11238,"Congressional District 8",2022,221030401,2299043900,2299043900.001,"In-Window","Committed","Funded","FCDL Issued","Crown Castle Fiber LLC",143005274,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps",6500,0,6500,2,13000,12,156000,0,0,0,0,0,156000,0.9,140400,15600,7666,NA,NA,NA,NA,NA,2600,60,2340,NA,2020,"Data connection(s) for an applicant’s hub site to an Internet Service Provider or state/regional network where Internet access service is billed separately","Current","No","Yes",10000,10000,"gigabit","gigabit",2504700,NA,11,"City Large","City","benchmark met","over50"
