"","ros_entity_number","FSCSKEY","FSCS_SEQ","ros_entity_name","ros_entity_type","is_school_library_independent","ros_subtype","ros_status","ros_physical_address","ros_physical_city","ros_physical_state","ros_physical_zipcode","ros_physical_zipcode_ext","ros_physical_county","ros_latitude","ros_longitude","ros_congressional_district","ros_urban_rural_status","ros_number_of_full_time_students","ros_total_number_of_part_time_students","ros_peak_number_of_part_time_students","ros_number_of_nslp_students","billed_entity_number","organization_name","organization_entity_type_name","org_address1","org_city","org_state","org_zipcode","org_congressional_district","funding_year","application_number","funding_request_number","form_471_line_item_number","is_certified_in_window","form_471_status_name","form_471_frn_status_name","pending_reason","spin_name","spin_number","chosen_category_of_service","form_471_service_type_name","form_471_function_name","form_471_product_name","upload_speed","form_471_upload_speed_unit_name","download_speed","form_471_download_speed_unit_name","total_monthly_cost","monthly_recur_ineligible_cost","monthly_recurring_unit_eligible_costs","monthly_quantity","total_monthly_eligible_recurring_costs","months_of_service","total_eligible_recurring_costs","total_one_time_cost","one_time_ineligible_cost","one_time_eligible_costs","one_time_quantity","total_eligible_one_time_costs","pre_discount_extended_eligible_line_item_costs","dis_pct","post_discount_extended_eligible_line_item_costs","post_discount_applicant_share","ros_square_footage","qty_allocation","tribal_type","form_471_frn_fiber_type_name","form_471_frn_fiber_sub_type_name","ros_physical_address_2","original_allocation","count_ros","cat1_discount_by_ros_estimated","cat2_discount_by_ros","MOST_RECENT_PLS","form_471_purpose_name","form_version","connection_directly_school","connection_supports_service","download_speed_mbps","upload_speed_mbps","speed_tier","gigabit_binary","POPU_LSA","LOCALE_ADD","LOCALE","LOCALE_ADD_DESCR","LOCALE_TOP_LEVEL_DESCR","speed_benchmark","pop_category"
"16",206080,"UT0069",4,"north branch library (n ogden)","library","No","public library","Active","475 E 2600 N","Ogden","UT",84414,NA,"Weber",41.3051935,-111.965529,"Congressional District 1","Urban",NA,NA,NA,NA,150246,"Utah Education And Telehealth Network","consortium","101 Wasatch Drive","Salt Lake City","UT",84112,"Congressional District 2",2022,221009557,2299011065,2299011065.002,"In-Window","Committed","Funded","FCDL Issued","CenturyLink Qwest Corporation",143005231,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",100,0,100,3,300,12,3600,0,0,0,0,0,3600,0.6,2160,1440,22907,NA,NA,NA,NA,NA,128.57,28,77.1428571428571,NA,2020,"Backbone circuit for consortium that provides connectivity between aggregation points or other non-user facilities","Current","No","Yes",1000,1000,"gigabit","gigabit",260213,NA,21,"Suburban Large","Suburban","benchmark met","over50"
"17",235433,"UT0049",21,"herriman library","library","No","public library","Active","5380 W Herriman Main St","Herriman","UT",84096,NA,"Salt Lake",40.516517,-112.0187065,"Congressional District 4","Urban",NA,NA,NA,NA,150246,"Utah Education And Telehealth Network","consortium","101 Wasatch Drive","Salt Lake City","UT",84112,"Congressional District 2",2022,221009557,2299011065,2299011065.002,"In-Window","Committed","Funded","FCDL Issued","CenturyLink Qwest Corporation",143005231,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",100,0,100,3,300,12,3600,0,0,0,0,0,3600,0.6,2160,1440,0,NA,NA,NA,NA,NA,128.57,28,77.1428571428571,NA,2020,"Backbone circuit for consortium that provides connectivity between aggregation points or other non-user facilities","Current","No","Yes",1000,1000,"gigabit","gigabit",910953,NA,21,"Suburban Large","Suburban","benchmark met","over50"
"18",96214,"UT0049",18,"draper library","library","No","public library","Active","1136 E Pioneer Rd","Draper","UT",84020,NA,"Salt Lake",40.5245133,-111.8581966,"Congressional District 3","Urban",NA,NA,NA,NA,150246,"Utah Education And Telehealth Network","consortium","101 Wasatch Drive","Salt Lake City","UT",84112,"Congressional District 2",2022,221009557,2299011065,2299011065.002,"In-Window","Committed","Funded","FCDL Issued","CenturyLink Qwest Corporation",143005231,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",100,0,100,3,300,12,3600,0,0,0,0,0,3600,0.6,2160,1440,0,NA,NA,NA,NA,NA,128.58,28,77.1428571428571,NA,2020,"Backbone circuit for consortium that provides connectivity between aggregation points or other non-user facilities","Current","No","Yes",1000,1000,"gigabit","gigabit",910953,NA,21,"Suburban Large","Suburban","benchmark met","over50"
"19",96281,"UT0049",6,"magna library","library","No","public library","Active","2675 S 8950 W","Magna","UT",84044,1853,"Salt Lake",40.7112806,-112.1043652,"Congressional District 2","Urban",NA,NA,NA,NA,150246,"Utah Education And Telehealth Network","consortium","101 Wasatch Drive","Salt Lake City","UT",84112,"Congressional District 2",2022,221009557,2299011065,2299011065.002,"In-Window","Committed","Funded","FCDL Issued","CenturyLink Qwest Corporation",143005231,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",100,0,100,3,300,12,3600,0,0,0,0,0,3600,0.6,2160,1440,0,NA,NA,NA,NA,NA,128.57,28,77.1428571428571,NA,2020,"Backbone circuit for consortium that provides connectivity between aggregation points or other non-user facilities","Current","No","Yes",1000,1000,"gigabit","gigabit",910953,NA,21,"Suburban Large","Suburban","benchmark met","over50"
"20",96292,"UT0049",13,"ruth v tyler library","library","No","public library","Active","8041 S Wood Street","Midvale","UT",84047,3264,"Salt Lake",40.6050172,-111.8926769,"Congressional District 4","Urban",NA,NA,NA,NA,150246,"Utah Education And Telehealth Network","consortium","101 Wasatch Drive","Salt Lake City","UT",84112,"Congressional District 2",2022,221009557,2299011065,2299011065.002,"In-Window","Committed","Funded","FCDL Issued","CenturyLink Qwest Corporation",143005231,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",100,0,100,3,300,12,3600,0,0,0,0,0,3600,0.6,2160,1440,0,NA,NA,NA,NA,NA,128.57,28,77.1428571428571,NA,2020,"Backbone circuit for consortium that provides connectivity between aggregation points or other non-user facilities","Current","No","Yes",1000,1000,"gigabit","gigabit",910953,NA,21,"Suburban Large","Suburban","benchmark met","over50"
"21",96423,"UT0049",9,"sandy library","library","No","public library","Active","10100 Petunia Way","Sandy","UT",84092,4380,"Salt Lake",40.5677173,-111.8522939,"Congressional District 3","Urban",NA,NA,NA,NA,150246,"Utah Education And Telehealth Network","consortium","101 Wasatch Drive","Salt Lake City","UT",84112,"Congressional District 2",2022,221009557,2299011065,2299011065.002,"In-Window","Committed","Funded","FCDL Issued","CenturyLink Qwest Corporation",143005231,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",100,0,100,3,300,12,3600,0,0,0,0,0,3600,0.6,2160,1440,NA,NA,NA,NA,NA,NA,128.57,28,77.1428571428571,NA,2020,"Backbone circuit for consortium that provides connectivity between aggregation points or other non-user facilities","Current","No","Yes",1000,1000,"gigabit","gigabit",910953,NA,21,"Suburban Large","Suburban","benchmark met","over50"
"22",96450,"UT0049",11,"south jordan library","library","No","public library","Active","10673 S Redwood Rd","South Jordan","UT",84095,NA,"Salt Lake",40.5573223,-111.9366924,"Congressional District 4","Urban",NA,NA,NA,NA,150246,"Utah Education And Telehealth Network","consortium","101 Wasatch Drive","Salt Lake City","UT",84112,"Congressional District 2",2022,221009557,2299011065,2299011065.002,"In-Window","Committed","Funded","FCDL Issued","CenturyLink Qwest Corporation",143005231,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",100,0,100,3,300,12,3600,0,0,0,0,0,3600,0.6,2160,1440,0,NA,NA,NA,NA,NA,128.57,28,77.1428571428571,NA,2020,"Backbone circuit for consortium that provides connectivity between aggregation points or other non-user facilities","Current","No","Yes",1000,1000,"gigabit","gigabit",910953,NA,21,"Suburban Large","Suburban","benchmark met","over50"
"23",96493,"UT0049",10,"calvin s smith library","library","No","public library","Active","810 E 3300 S","Salt Lake City","UT",84106,1534,"Salt Lake",40.6996197,-111.8679146,"Congressional District 4","Urban",NA,NA,NA,NA,150246,"Utah Education And Telehealth Network","consortium","101 Wasatch Drive","Salt Lake City","UT",84112,"Congressional District 2",2022,221009557,2299011065,2299011065.002,"In-Window","Committed","Funded","FCDL Issued","CenturyLink Qwest Corporation",143005231,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",100,0,100,3,300,12,3600,0,0,0,0,0,3600,0.6,2160,1440,0,NA,NA,NA,NA,NA,128.57,28,77.1428571428571,NA,2020,"Backbone circuit for consortium that provides connectivity between aggregation points or other non-user facilities","Current","No","Yes",1000,1000,"gigabit","gigabit",910953,NA,21,"Suburban Large","Suburban","benchmark met","over50"
"24",96532,"UT0049",3,"millcreek library","library","No","public library","Active","2266 E Evergreen Ave","Salt Lake City","UT",84109,2927,"Salt Lake",40.6962401,-111.8265943,"Congressional District 4","Urban",NA,NA,NA,NA,150246,"Utah Education And Telehealth Network","consortium","101 Wasatch Drive","Salt Lake City","UT",84112,"Congressional District 2",2022,221009557,2299011065,2299011065.002,"In-Window","Committed","Funded","FCDL Issued","CenturyLink Qwest Corporation",143005231,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",100,0,100,3,300,12,3600,0,0,0,0,0,3600,0.6,2160,1440,0,NA,NA,NA,NA,NA,128.57,28,77.1428571428571,NA,2020,"Backbone circuit for consortium that provides connectivity between aggregation points or other non-user facilities","Current","No","Yes",1000,1000,"gigabit","gigabit",910953,NA,21,"Suburban Large","Suburban","benchmark met","over50"
"25",96543,"UT0049",12,"columbus library","library","No","public library","Active","2530 South 500 East","Salt Lake City","UT",84106,3138,"Salt Lake",40.7154705,-111.8780858,"Congressional District 4","Urban",NA,NA,NA,NA,150246,"Utah Education And Telehealth Network","consortium","101 Wasatch Drive","Salt Lake City","UT",84112,"Congressional District 2",2022,221009557,2299011065,2299011065.002,"In-Window","Committed","Funded","FCDL Issued","CenturyLink Qwest Corporation",143005231,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",100,0,100,3,300,12,3600,0,0,0,0,0,3600,0.6,2160,1440,0,NA,NA,NA,NA,NA,128.57,28,77.1428571428571,NA,2020,"Backbone circuit for consortium that provides connectivity between aggregation points or other non-user facilities","Current","No","Yes",1000,1000,"gigabit","gigabit",910953,NA,12,"City Midsize","City","benchmark met","over50"
"26",96561,"UT0049",4,"holladay library","library","No","public library","Active","2150 E Murray-Holladay Rd (4730 So)","Holladay","UT",84117,5241,"Salt Lake",40.6661956,-111.8286788,"Congressional District 3","Urban",NA,NA,NA,NA,150246,"Utah Education And Telehealth Network","consortium","101 Wasatch Drive","Salt Lake City","UT",84112,"Congressional District 2",2022,221009557,2299011065,2299011065.002,"In-Window","Committed","Funded","FCDL Issued","CenturyLink Qwest Corporation",143005231,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",100,0,100,3,300,12,3600,0,0,0,0,0,3600,0.6,2160,1440,0,NA,NA,NA,NA,NA,128.57,28,77.1428571428571,NA,2020,"Backbone circuit for consortium that provides connectivity between aggregation points or other non-user facilities","Current","No","Yes",1000,1000,"gigabit","gigabit",910953,NA,21,"Suburban Large","Suburban","benchmark met","over50"
"27",96575,"UT0049",5,"kearns library","library","No","public library","Active","4275 W 5345 S","Salt Lake City","UT",84118,NA,"Salt Lake",40.6540537,-111.9930195,"Congressional District 4","Urban",NA,NA,NA,NA,150246,"Utah Education And Telehealth Network","consortium","101 Wasatch Drive","Salt Lake City","UT",84112,"Congressional District 2",2022,221009557,2299011065,2299011065.002,"In-Window","Committed","Funded","FCDL Issued","CenturyLink Qwest Corporation",143005231,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",100,0,100,3,300,12,3600,0,0,0,0,0,3600,0.6,2160,1440,0,NA,NA,NA,NA,NA,128.57,28,77.1428571428571,NA,2020,"Backbone circuit for consortium that provides connectivity between aggregation points or other non-user facilities","Current","No","Yes",1000,1000,"gigabit","gigabit",910953,NA,21,"Suburban Large","Suburban","benchmark met","over50"
"28",96616,"UT0049",16,"whitmore library","library","No","public library","Active","2197 Fort Union Blvd","Salt Lake City","UT",84121,3139,"Salt Lake",40.6245977,-111.8280733,"Congressional District 3","Urban",NA,NA,NA,NA,150246,"Utah Education And Telehealth Network","consortium","101 Wasatch Drive","Salt Lake City","UT",84112,"Congressional District 2",2022,221009557,2299011065,2299011065.002,"In-Window","Committed","Funded","FCDL Issued","CenturyLink Qwest Corporation",143005231,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",100,0,100,3,300,12,3600,0,0,0,0,0,3600,0.6,2160,1440,0,NA,NA,NA,NA,NA,128.57,28,77.1428571428571,NA,2020,"Backbone circuit for consortium that provides connectivity between aggregation points or other non-user facilities","Current","No","Yes",1000,1000,"gigabit","gigabit",910953,NA,21,"Suburban Large","Suburban","benchmark met","over50"
