"","ros_entity_number","FSCSKEY","FSCS_SEQ","ros_entity_name","ros_entity_type","is_school_library_independent","ros_subtype","ros_status","ros_physical_address","ros_physical_city","ros_physical_state","ros_physical_zipcode","ros_physical_zipcode_ext","ros_physical_county","ros_latitude","ros_longitude","ros_congressional_district","ros_urban_rural_status","ros_number_of_full_time_students","ros_total_number_of_part_time_students","ros_peak_number_of_part_time_students","ros_number_of_nslp_students","billed_entity_number","organization_name","organization_entity_type_name","org_address1","org_city","org_state","org_zipcode","org_congressional_district","funding_year","application_number","funding_request_number","form_471_line_item_number","is_certified_in_window","form_471_status_name","form_471_frn_status_name","pending_reason","spin_name","spin_number","chosen_category_of_service","form_471_service_type_name","form_471_function_name","form_471_product_name","upload_speed","form_471_upload_speed_unit_name","download_speed","form_471_download_speed_unit_name","total_monthly_cost","monthly_recur_ineligible_cost","monthly_recurring_unit_eligible_costs","monthly_quantity","total_monthly_eligible_recurring_costs","months_of_service","total_eligible_recurring_costs","total_one_time_cost","one_time_ineligible_cost","one_time_eligible_costs","one_time_quantity","total_eligible_one_time_costs","pre_discount_extended_eligible_line_item_costs","dis_pct","post_discount_extended_eligible_line_item_costs","post_discount_applicant_share","original_allocation","qty_allocation","ros_square_footage","tribal_type","ros_physical_address_2","form_471_frn_fiber_type_name","form_471_frn_fiber_sub_type_name","count_ros","cat1_discount_by_ros_estimated","POPU_LSA","LOCALE","LOCALE_DESCR","LOCALE_TOP_LEVEL_DESCR","download_speed_mbps","upload_speed_mbps","fcc_speed_benchmark","pop_category","symmetrical_gig","form_471_purpose_name","form_version","connection_directly_school","connection_supports_service","how_many_rows_per_lib","how_many_rows_per_lib_2","how_many_rows_per_lib_3","function_rank","how_many_rows_per_lib_4"
"11",1639,"MA0035",24,"parker hill branch library","library","No","public library","Active","1497 Tremont St","Roxbury","MA",2120,"2909","Suffolk","42.332499","-71.099095","Congressional District 7","Urban","NA","NA","NA","NA",149096,"Mbln Consortium","consortium","700 Boylston St.","Boston","MA",2116,"Congressional District 7",2022,221037720,2299056212,2299056212.001,"In-Window","Committed","Funded","FCDL Issued","City of Boston - Dept of Innovation & Technology",143035737,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps","1700","0","1700","1","1700","12","20400","0","0","0","0","0","20400","0.9","18360","2040","755.55","1","10200","NA","NA","NA","NA",27,"680",694583,"11","City Large","City",10000,10000,"bandwidth target met","over50",TRUE,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",2,2,2,1,2
"12",1639,"MA0035",24,"parker hill branch library","library","No","public library","Active","1497 Tremont St","Roxbury","MA",2120,"2909","Suffolk","42.332499","-71.099095","Congressional District 7","Urban","NA","NA","NA","NA",149096,"Mbln Consortium","consortium","700 Boylston St.","Boston","MA",2116,"Congressional District 7",2022,221037720,2299056212,2299056212.002,"In-Window","Committed","Funded","FCDL Issued","City of Boston - Dept of Innovation & Technology",143035737,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps","1700","0","1700","1","1700","12","20400","0","0","0","0","0","20400","0.9","18360","2040","NA","1","10200","NA","NA","NA","NA",27,"680",694583,"11","City Large","City",10000,10000,"bandwidth target met","over50",TRUE,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",2,2,2,1,2
"13",1647,"MA0035",23,"grove hall branch library","library","No","public library","Active","41 Geneva Avenue","Dorchester","MA",2121,"2402","Suffolk","42.307983","-71.081188","Congressional District 7","Urban","NA","NA","NA","NA",149096,"Mbln Consortium","consortium","700 Boylston St.","Boston","MA",2116,"Congressional District 7",2022,221037720,2299056212,2299056212.001,"In-Window","Committed","Funded","FCDL Issued","City of Boston - Dept of Innovation & Technology",143035737,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps","1700","0","1700","1","1700","12","20400","0","0","0","0","0","20400","0.9","18360","2040","755.55","1","21000","NA","NA","NA","NA",27,"680",694583,"11","City Large","City",10000,10000,"bandwidth target met","over50",TRUE,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",2,2,2,1,2
"14",1647,"MA0035",23,"grove hall branch library","library","No","public library","Active","41 Geneva Avenue","Dorchester","MA",2121,"2402","Suffolk","42.307983","-71.081188","Congressional District 7","Urban","NA","NA","NA","NA",149096,"Mbln Consortium","consortium","700 Boylston St.","Boston","MA",2116,"Congressional District 7",2022,221037720,2299056212,2299056212.002,"In-Window","Committed","Funded","FCDL Issued","City of Boston - Dept of Innovation & Technology",143035737,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps","1700","0","1700","1","1700","12","20400","0","0","0","0","0","20400","0.9","18360","2040","NA","1","21000","NA","NA","NA","NA",27,"680",694583,"11","City Large","City",10000,10000,"bandwidth target met","over50",TRUE,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",2,2,2,1,2
"15",1655,"MA0035",12,"fields corner branch library","library","No","public library","Active","1520 Dorchester Ave","Dorchester","MA",2122,"1327","Suffolk","42.298892","-71.06034","Congressional District 7","Urban","NA","NA","NA","NA",149096,"Mbln Consortium","consortium","700 Boylston St.","Boston","MA",2116,"Congressional District 7",2022,221037720,2299056212,2299056212.001,"In-Window","Committed","Funded","FCDL Issued","City of Boston - Dept of Innovation & Technology",143035737,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps","1700","0","1700","1","1700","12","20400","0","0","0","0","0","20400","0.9","18360","2040","755.55","1","9700","NA","NA","NA","NA",27,"680",694583,"11","City Large","City",10000,10000,"bandwidth target met","over50",TRUE,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",2,2,2,1,2
"16",1655,"MA0035",12,"fields corner branch library","library","No","public library","Active","1520 Dorchester Ave","Dorchester","MA",2122,"1327","Suffolk","42.298892","-71.06034","Congressional District 7","Urban","NA","NA","NA","NA",149096,"Mbln Consortium","consortium","700 Boylston St.","Boston","MA",2116,"Congressional District 7",2022,221037720,2299056212,2299056212.002,"In-Window","Committed","Funded","FCDL Issued","City of Boston - Dept of Innovation & Technology",143035737,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps","1700","0","1700","1","1700","12","20400","0","0","0","0","0","20400","0.9","18360","2040","NA","1","9700","NA","NA","NA","NA",27,"680",694583,"11","City Large","City",10000,10000,"bandwidth target met","over50",TRUE,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",2,2,2,1,2
"17",1659,"MA0035",10,"adams street branch library","library","No","public library","Active","690 Adams St","Boston","MA",2122,"1907","Suffolk","42.286292","-71.054413","Congressional District 8","Urban","NA","NA","NA","NA",149096,"Mbln Consortium","consortium","700 Boylston St.","Boston","MA",2116,"Congressional District 7",2022,221037720,2299056212,2299056212.001,"In-Window","Committed","Funded","FCDL Issued","City of Boston - Dept of Innovation & Technology",143035737,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps","1700","0","1700","1","1700","12","20400","0","0","0","0","0","20400","0.9","18360","2040","755.55","1","7200","NA","NA","NA","NA",27,"680",694583,"11","City Large","City",10000,10000,"bandwidth target met","over50",TRUE,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",2,2,2,1,2
"18",1659,"MA0035",10,"adams street branch library","library","No","public library","Active","690 Adams St","Boston","MA",2122,"1907","Suffolk","42.286292","-71.054413","Congressional District 8","Urban","NA","NA","NA","NA",149096,"Mbln Consortium","consortium","700 Boylston St.","Boston","MA",2116,"Congressional District 7",2022,221037720,2299056212,2299056212.002,"In-Window","Committed","Funded","FCDL Issued","City of Boston - Dept of Innovation & Technology",143035737,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps","1700","0","1700","1","1700","12","20400","0","0","0","0","0","20400","0.9","18360","2040","NA","1","7200","NA","NA","NA","NA",27,"680",694583,"11","City Large","City",10000,10000,"bandwidth target met","over50",TRUE,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",2,2,2,1,2
"19",1670,"MA0035",11,"codman square branch library","library","No","public library","Active","690 Washington St","Dorchester","MA",2124,"3511","Suffolk","42.287655","-71.070868","Congressional District 7","Urban","NA","NA","NA","NA",149096,"Mbln Consortium","consortium","700 Boylston St.","Boston","MA",2116,"Congressional District 7",2022,221037720,2299056212,2299056212.001,"In-Window","Committed","Funded","FCDL Issued","City of Boston - Dept of Innovation & Technology",143035737,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps","1700","0","1700","1","1700","12","20400","0","0","0","0","0","20400","0.9","18360","2040","755.55","1","22000","NA","NA","NA","NA",27,"680",694583,"11","City Large","City",10000,10000,"bandwidth target met","over50",TRUE,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",2,2,2,1,2
"20",1670,"MA0035",11,"codman square branch library","library","No","public library","Active","690 Washington St","Dorchester","MA",2124,"3511","Suffolk","42.287655","-71.070868","Congressional District 7","Urban","NA","NA","NA","NA",149096,"Mbln Consortium","consortium","700 Boylston St.","Boston","MA",2116,"Congressional District 7",2022,221037720,2299056212,2299056212.002,"In-Window","Committed","Funded","FCDL Issued","City of Boston - Dept of Innovation & Technology",143035737,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps","1700","0","1700","1","1700","12","20400","0","0","0","0","0","20400","0.9","18360","2040","NA","1","22000","NA","NA","NA","NA",27,"680",694583,"11","City Large","City",10000,10000,"bandwidth target met","over50",TRUE,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",2,2,2,1,2
"21",1679,"MA0035",13,"lower mills branch library","library","No","public library","Active","27 Richmond St","Dorchester","MA",2124,"5610","Suffolk","42.273623","-71.068543","Congressional District 7","Urban","NA","NA","NA","NA",149096,"Mbln Consortium","consortium","700 Boylston St.","Boston","MA",2116,"Congressional District 7",2022,221037720,2299056212,2299056212.001,"In-Window","Committed","Funded","FCDL Issued","City of Boston - Dept of Innovation & Technology",143035737,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps","1700","0","1700","1","1700","12","20400","0","0","0","0","0","20400","0.9","18360","2040","755.55","1","8000","NA","NA","NA","NA",27,"680",694583,"11","City Large","City",10000,10000,"bandwidth target met","over50",TRUE,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",2,2,2,1,2
"22",1679,"MA0035",13,"lower mills branch library","library","No","public library","Active","27 Richmond St","Dorchester","MA",2124,"5610","Suffolk","42.273623","-71.068543","Congressional District 7","Urban","NA","NA","NA","NA",149096,"Mbln Consortium","consortium","700 Boylston St.","Boston","MA",2116,"Congressional District 7",2022,221037720,2299056212,2299056212.002,"In-Window","Committed","Funded","FCDL Issued","City of Boston - Dept of Innovation & Technology",143035737,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps","1700","0","1700","1","1700","12","20400","0","0","0","0","0","20400","0.9","18360","2040","NA","1","8000","NA","NA","NA","NA",27,"680",694583,"11","City Large","City",10000,10000,"bandwidth target met","over50",TRUE,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",2,2,2,1,2
"23",1689,"MA0035",15,"uphams corner branch library","library","No","public library","Active","500 Columbia Rd","Dorchester","MA",2125,"2322","Suffolk","42.314772","-71.067583","Congressional District 7","Urban","NA","NA","NA","NA",149096,"Mbln Consortium","consortium","700 Boylston St.","Boston","MA",2116,"Congressional District 7",2022,221037720,2299056212,2299056212.001,"In-Window","Committed","Funded","FCDL Issued","City of Boston - Dept of Innovation & Technology",143035737,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps","1700","0","1700","1","1700","12","20400","0","0","0","0","0","20400","0.9","18360","2040","755.55","1","6300","NA","NA","NA","NA",27,"680",694583,"11","City Large","City",10000,10000,"bandwidth target met","over50",TRUE,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",2,2,2,1,2
"24",1689,"MA0035",15,"uphams corner branch library","library","No","public library","Active","500 Columbia Rd","Dorchester","MA",2125,"2322","Suffolk","42.314772","-71.067583","Congressional District 7","Urban","NA","NA","NA","NA",149096,"Mbln Consortium","consortium","700 Boylston St.","Boston","MA",2116,"Congressional District 7",2022,221037720,2299056212,2299056212.002,"In-Window","Committed","Funded","FCDL Issued","City of Boston - Dept of Innovation & Technology",143035737,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps","1700","0","1700","1","1700","12","20400","0","0","0","0","0","20400","0.9","18360","2040","NA","1","6300","NA","NA","NA","NA",27,"680",694583,"11","City Large","City",10000,10000,"bandwidth target met","over50",TRUE,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",2,2,2,1,2
"25",1701,"MA0035",14,"mattapan branch library","library","No","public library","Active","1350 Bluehill Avenue","Mattapan","MA",2126,"NA","Suffolk","42.277495","-71.093129","Congressional District 7","Urban","NA","NA","NA","NA",149096,"Mbln Consortium","consortium","700 Boylston St.","Boston","MA",2116,"Congressional District 7",2022,221037720,2299056212,2299056212.001,"In-Window","Committed","Funded","FCDL Issued","City of Boston - Dept of Innovation & Technology",143035737,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps","1700","0","1700","1","1700","12","20400","0","0","0","0","0","20400","0.9","18360","2040","755.56","1","21000","NA","NA","NA","NA",27,"680",694583,"11","City Large","City",10000,10000,"bandwidth target met","over50",TRUE,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",2,2,2,1,2
"26",1701,"MA0035",14,"mattapan branch library","library","No","public library","Active","1350 Bluehill Avenue","Mattapan","MA",2126,"NA","Suffolk","42.277495","-71.093129","Congressional District 7","Urban","NA","NA","NA","NA",149096,"Mbln Consortium","consortium","700 Boylston St.","Boston","MA",2116,"Congressional District 7",2022,221037720,2299056212,2299056212.002,"In-Window","Committed","Funded","FCDL Issued","City of Boston - Dept of Innovation & Technology",143035737,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps","1700","0","1700","1","1700","12","20400","0","0","0","0","0","20400","0.9","18360","2040","NA","1","21000","NA","NA","NA","NA",27,"680",694583,"11","City Large","City",10000,10000,"bandwidth target met","over50",TRUE,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",2,2,2,1,2
"27",1703,"MA0035",25,"south boston branch library","library","No","public library","Active","646 E Broadway","Boston","MA",2127,"1502","Suffolk","42.335793","-71.038715","Congressional District 8","Urban","NA","NA","NA","NA",149096,"Mbln Consortium","consortium","700 Boylston St.","Boston","MA",2116,"Congressional District 7",2022,221037720,2299056212,2299056212.001,"In-Window","Committed","Funded","FCDL Issued","City of Boston - Dept of Innovation & Technology",143035737,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps","1700","0","1700","1","1700","12","20400","0","0","0","0","0","20400","0.9","18360","2040","755.56","1","10700","NA","NA","NA","NA",27,"680",694583,"11","City Large","City",10000,10000,"bandwidth target met","over50",TRUE,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",2,2,2,1,2
"28",1703,"MA0035",25,"south boston branch library","library","No","public library","Active","646 E Broadway","Boston","MA",2127,"1502","Suffolk","42.335793","-71.038715","Congressional District 8","Urban","NA","NA","NA","NA",149096,"Mbln Consortium","consortium","700 Boylston St.","Boston","MA",2116,"Congressional District 7",2022,221037720,2299056212,2299056212.002,"In-Window","Committed","Funded","FCDL Issued","City of Boston - Dept of Innovation & Technology",143035737,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps","1700","0","1700","1","1700","12","20400","0","0","0","0","0","20400","0.9","18360","2040","NA","1","10700","NA","NA","NA","NA",27,"680",694583,"11","City Large","City",10000,10000,"bandwidth target met","over50",TRUE,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",2,2,2,1,2
"29",1739,"MA0035",9,"charlestown branch library","library","No","public library","Active","179 Main St","Charlestown","MA",2129,"3208","Suffolk","42.375771","-71.064431","Congressional District 7","Urban","NA","NA","NA","NA",149096,"Mbln Consortium","consortium","700 Boylston St.","Boston","MA",2116,"Congressional District 7",2022,221037720,2299056212,2299056212.001,"In-Window","Committed","Funded","FCDL Issued","City of Boston - Dept of Innovation & Technology",143035737,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps","1700","0","1700","1","1700","12","20400","0","0","0","0","0","20400","0.9","18360","2040","755.56","1","10300","NA","NA","NA","NA",27,"680",694583,"11","City Large","City",10000,10000,"bandwidth target met","over50",TRUE,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",2,2,2,1,2
"30",1739,"MA0035",9,"charlestown branch library","library","No","public library","Active","179 Main St","Charlestown","MA",2129,"3208","Suffolk","42.375771","-71.064431","Congressional District 7","Urban","NA","NA","NA","NA",149096,"Mbln Consortium","consortium","700 Boylston St.","Boston","MA",2116,"Congressional District 7",2022,221037720,2299056212,2299056212.002,"In-Window","Committed","Funded","FCDL Issued","City of Boston - Dept of Innovation & Technology",143035737,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps","1700","0","1700","1","1700","12","20400","0","0","0","0","0","20400","0.9","18360","2040","NA","1","10300","NA","NA","NA","NA",27,"680",694583,"11","City Large","City",10000,10000,"bandwidth target met","over50",TRUE,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",2,2,2,1,2
