"","ros_entity_number","FSCSKEY","FSCS_SEQ","ros_entity_name","ros_entity_type","is_school_library_independent","ros_subtype","ros_status","ros_physical_address","ros_physical_city","ros_physical_state","ros_physical_zipcode","ros_physical_zipcode_ext","ros_physical_county","ros_latitude","ros_longitude","ros_congressional_district","ros_urban_rural_status","ros_number_of_full_time_students","ros_total_number_of_part_time_students","ros_peak_number_of_part_time_students","ros_number_of_nslp_students","billed_entity_number","organization_name","organization_entity_type_name","org_address1","org_city","org_state","org_zipcode","org_congressional_district","funding_year","application_number","funding_request_number","form_471_line_item_number","is_certified_in_window","form_471_status_name","form_471_frn_status_name","pending_reason","spin_name","spin_number","chosen_category_of_service","form_471_service_type_name","form_471_function_name","form_471_product_name","upload_speed","form_471_upload_speed_unit_name","download_speed","form_471_download_speed_unit_name","total_monthly_cost","monthly_recur_ineligible_cost","monthly_recurring_unit_eligible_costs","monthly_quantity","total_monthly_eligible_recurring_costs","months_of_service","total_eligible_recurring_costs","total_one_time_cost","one_time_ineligible_cost","one_time_eligible_costs","one_time_quantity","total_eligible_one_time_costs","pre_discount_extended_eligible_line_item_costs","dis_pct","post_discount_extended_eligible_line_item_costs","post_discount_applicant_share","ros_square_footage","qty_allocation","tribal_type","form_471_frn_fiber_type_name","form_471_frn_fiber_sub_type_name","ros_physical_address_2","original_allocation","count_ros","cat1_discount_by_ros_estimated","cat2_discount_by_ros","MOST_RECENT_PLS","form_471_purpose_name","form_version","connection_directly_school","connection_supports_service","download_speed_mbps","upload_speed_mbps","speed_tier","gigabit_binary","POPU_LSA","LOCALE_ADD","LOCALE","LOCALE_ADD_DESCR","LOCALE_TOP_LEVEL_DESCR","speed_benchmark","pop_category","count_ents"
"12",17025369,"AZ0100",6,"kayenta","library","No","public library","Active","Us-163 & Indian Sr-6586","Kayenta","AZ",86033,NA,"Navajo",36.736876,-110.238387,"Congressional District 1","Rural",NA,NA,NA,NA,17023688,"Navajo Nation Tribal Consortium","consortium","2556 Morgan Blvd","Window Rock","AZ",86515,"Congressional District 3",2022,221039589,2299059289,2299059289.001,"In-Window","Committed","Funded","FCDL Issued","Smith Bagley, Inc.",143000989,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps",3498,0,3498,1,3498,12,41976,2650,0,2650,1,2650,44626,0.9,40163.4,4462.6,0,0.017,"Tribal Library",NA,NA,NA,NA,58,692.472413793103,NA,2020,"Internet access service that includes a connection from any applicant site directly to the Internet Service Provider","Current","Yes","No",10000,10000,"gigabit","gigabit",100734,NA,41,"Rural Fringe","Rural","bandwidth target met","over50",2
"13",17025375,"AZ0100",6,"kayenta library","library","No","public library","Active","1 Mile N. Us Highway 163","Kayenta","AZ",86033,NA,"Navajo",36.740238,-110.235217,"Congressional District 1","Rural",NA,NA,NA,NA,17023688,"Navajo Nation Tribal Consortium","consortium","2556 Morgan Blvd","Window Rock","AZ",86515,"Congressional District 3",2022,221039589,2299059289,2299059289.001,"In-Window","Committed","Funded","FCDL Issued","Smith Bagley, Inc.",143000989,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps",3498,0,3498,1,3498,12,41976,2650,0,2650,1,2650,44626,0.9,40163.4,4462.6,0,0.017,"Tribal Library",NA,NA,NA,NA,58,692.472413793103,NA,2020,"Internet access service that includes a connection from any applicant site directly to the Internet Service Provider","Current","Yes","No",10000,10000,"gigabit","gigabit",100734,NA,41,"Rural Fringe","Rural","bandwidth target met","over50",2
"14",17026536,"CA0105",2,"vinny-van-go","library","No","bookmobile, public library","Active","828 I St","Sacramento","CA",95814,NA,"Sacramento",38.581661,-121.495104,"Congressional District 6","Urban",NA,NA,NA,NA,144613,"Sacramento Public Library","library system","828 I St","Sacramento","CA",95814,"Congressional District 6",2022,221003908,2299018404,2299018404.003,"In-Window","Committed","Funded","FCDL Issued","AT&T Mobility",143025240,"Category1","Data Transmission and/or Internet Access","Wireless","Wireless data service",5,"Gbps",5,"Gbps",37.5,0,37.5,6,225,12,2700,0,0,0,0,0,2700,0.9,2430,270,125,2,NA,NA,NA,NA,NA,3,810,NA,2020,"Internet access service that includes a connection from any applicant site directly to the Internet Service Provider","Current","Yes","No",5000,5000,"gigabit","gigabit",1473755,NA,11,"City Large","City","bandwidth target met","over50",2
"15",111698,"CA0105",2,"central branch library","library","No","main branch, public library","Active","828 I St","Sacramento","CA",95814,2508,"Sacramento",38.581661,-121.495104,"Congressional District 6","Urban",NA,NA,NA,NA,225495,"Cenic-Corporation For Education Network Initiatives In California","consortium","16700 Valley View Avenue, Suite 400","La Mirada","CA",90638,"Congressional District 38",2022,221024593,2299041702,2299041702.001,"In-Window","Committed","Funded","FCDL Issued","Pacific Bell Telephone Company",143002665,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps",1890,0,1890,2,3780,12,45360,0,0,0,0,0,45360,0.9,40824,4536,160000,1,NA,NA,NA,NA,22680,2,20412,NA,2020,"Data connection(s) for an applicant’s hub site to an Internet Service Provider or state/regional network where Internet access service is billed separately","Current","Yes","No",10000,10000,"gigabit","gigabit",1473755,NA,11,"City Large","City","bandwidth target met","over50",2
"16",111698,"CA0105",2,"central branch library","library","No","main branch, public library","Active","828 I St","Sacramento","CA",95814,2508,"Sacramento",38.581661,-121.495104,"Congressional District 6","Urban",NA,NA,NA,NA,225495,"Cenic-Corporation For Education Network Initiatives In California","consortium","16700 Valley View Avenue, Suite 400","La Mirada","CA",90638,"Congressional District 38",2022,221024593,2299041721,2299041721.003,"In-Window","Committed","Funded","FCDL Issued","Pacific Bell Telephone Company",143002665,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps",1676.82,0,1676.82,1,1676.82,12,20121.84,0,0,0,0,0,20121.84,0.9,18109.656,2012.18,160000,NA,NA,NA,NA,NA,20121.84,1,18109.656,NA,2020,"Data Connection between two or more sites entirely within the applicant’s network","Current","No","Yes",10000,10000,"gigabit","gigabit",1473755,NA,11,"City Large","City","bandwidth target met","over50",2
"17",103630,"CA0112",6,"campo-morena village br lib","library","No","public library","Active","31356 Highway 94","Campo","CA",91906,NA,"San Diego",32.623934,-116.474672,"Congressional District 51","Rural",NA,NA,NA,NA,225495,"Cenic-Corporation For Education Network Initiatives In California","consortium","16700 Valley View Avenue, Suite 400","La Mirada","CA",90638,"Congressional District 38",2022,221005853,2299006088,2299006088.001,"In-Window","Committed","Funded","FCDL Issued","Pacific Bell Telephone Company",143002665,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",554.4,0,554.4,32,17740.8,12,212889.6,0,0,0,0,0,212889.6,0.8,170311.68,42577.92,2490,NA,NA,NA,NA,NA,6652.8,32,5322.24,NA,2020,"Data Connection between two or more sites entirely within the applicant’s network","Current","No","Yes",1000,1000,"gigabit","gigabit",1112378,NA,42,"Rural Distant","Rural","bandwidth target met","over50",2
"18",231015,"CA0112",6,"campo band of mission indians","library","Yes","main branch, private library","Active","36190 Church Road","Campo","CA",91906,NA,"San Diego",32.650287,-116.365643,"Congressional District 51","Rural",NA,NA,NA,NA,228475,"Southern California Tribals Chairmans Library Association","consortium","36146 Pala-Temecula Road","Pala","CA",92059,"Congressional District 50",2022,221030757,2299044430,2299044430.001,"In-Window","Committed","Funded","FCDL Issued","DRS Global Enterprise Solutions Inc.",143021118,"Category1","Data Transmission and/or Internet Access","Wireless","Microwave",150,"Mbps",150,"Mbps",14700,0,14700,13,191100,12,2293200,0,0,0,0,0,2293200,0.81,1857492,435708,2000,1,"Tribal Library",NA,NA,NA,176400,13,142884,NA,2020,"Internet access service that includes a connection from any applicant site directly to the Internet Service Provider","Current","Yes","No",150,150,"served_not_gigabit","not_gigabit",1112378,NA,42,"Rural Distant","Rural","bandwidth target not met","over50",2
"19",17013746,"CA0123",7,"santa ana public library","library","No","main branch, public library","Active","26 Civic Center Plz","Santa Ana","CA",92701,4010,"Orange",33.748602,-117.874381,"Congressional District 46","Urban",NA,NA,NA,NA,143777,"Santa Ana Public Library","library system","26 Civic Center Plz","Santa Ana","CA",92701,"Congressional District 46",2022,221038772,2299057892,2299057892.001,"In-Window","Committed","Funded","FCDL Issued","Charter Communications Operating, LLC",143050436,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",1260,932.4,327.6,1,327.6,12,3931.2,0,0,0,0,0,3931.2,0.9,3538.08,393.12,39790,1,NA,NA,NA,NA,561.6,7,505.44,NA,2020,"Internet access service that includes a connection from any applicant site directly to the Internet Service Provider","Current","Yes","No",1000,1000,"gigabit","gigabit",335052,NA,11,"City Large","City","bandwidth target met","over50",2
"20",17013746,"CA0123",7,"santa ana public library","library","No","main branch, public library","Active","26 Civic Center Plz","Santa Ana","CA",92701,4010,"Orange",33.748602,-117.874381,"Congressional District 46","Urban",NA,NA,NA,NA,143777,"Santa Ana Public Library","library system","26 Civic Center Plz","Santa Ana","CA",92701,"Congressional District 46",2022,221038772,2299057922,2299057922.001,"In-Window","Committed","Funded","FCDL Issued","Charter Communications Operating, LLC",143050436,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",5,"Gbps",5,"Gbps",651,0,651,1,651,12,7812,0,0,0,0,0,7812,0.9,7030.8,781.2,39790,NA,NA,NA,NA,NA,1116,7,1004.4,NA,2020,"Data Connection between two or more sites entirely within the applicant’s network","Current","No","Yes",5000,5000,"gigabit","gigabit",335052,NA,11,"City Large","City","bandwidth target met","over50",2
"21",17013746,"CA0123",7,"santa ana public library","library","No","main branch, public library","Active","26 Civic Center Plz","Santa Ana","CA",92701,4010,"Orange",33.748602,-117.874381,"Congressional District 46","Urban",NA,NA,NA,NA,143777,"Santa Ana Public Library","library system","26 Civic Center Plz","Santa Ana","CA",92701,"Congressional District 46",2022,221038772,2299057922,2299057922.002,"In-Window","Committed","Funded","FCDL Issued","Charter Communications Operating, LLC",143050436,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",637,0,637,5,3185,12,38220,0,0,0,0,0,38220,0.9,34398,3822,39790,NA,NA,NA,NA,NA,5460,7,4914,NA,2020,"Data Connection between two or more sites entirely within the applicant’s network","Current","No","Yes",1000,1000,"gigabit","gigabit",335052,NA,11,"City Large","City","bandwidth target met","over50",2
"22",17023634,"CA0123",7,"santa ana city hall","non-instructional facility (nif)",NA,NA,"Active","20 Civic Center Plaza","Santa Ana","CA",92701,NA,"Orange",33.749121,-117.873362,"Congressional District 46",NA,NA,NA,NA,NA,143777,"Santa Ana Public Library","library system","26 Civic Center Plz","Santa Ana","CA",92701,"Congressional District 46",2022,221038772,2299057892,2299057892.001,"In-Window","Committed","Funded","FCDL Issued","Charter Communications Operating, LLC",143050436,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",1260,932.4,327.6,1,327.6,12,3931.2,0,0,0,0,0,3931.2,0.9,3538.08,393.12,NA,1,NA,NA,NA,NA,561.6,7,505.44,NA,2020,"Internet access service that includes a connection from any applicant site directly to the Internet Service Provider","Current","Yes","No",1000,1000,"gigabit","gigabit",335052,NA,11,"City Large","City","bandwidth target met","over50",2
"23",17023634,"CA0123",7,"santa ana city hall","non-instructional facility (nif)",NA,NA,"Active","20 Civic Center Plaza","Santa Ana","CA",92701,NA,"Orange",33.749121,-117.873362,"Congressional District 46",NA,NA,NA,NA,NA,143777,"Santa Ana Public Library","library system","26 Civic Center Plz","Santa Ana","CA",92701,"Congressional District 46",2022,221038772,2299057922,2299057922.001,"In-Window","Committed","Funded","FCDL Issued","Charter Communications Operating, LLC",143050436,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",5,"Gbps",5,"Gbps",651,0,651,1,651,12,7812,0,0,0,0,0,7812,0.9,7030.8,781.2,NA,NA,NA,NA,NA,NA,1116,7,1004.4,NA,2020,"Data Connection between two or more sites entirely within the applicant’s network","Current","No","Yes",5000,5000,"gigabit","gigabit",335052,NA,11,"City Large","City","bandwidth target met","over50",2
"24",17023634,"CA0123",7,"santa ana city hall","non-instructional facility (nif)",NA,NA,"Active","20 Civic Center Plaza","Santa Ana","CA",92701,NA,"Orange",33.749121,-117.873362,"Congressional District 46",NA,NA,NA,NA,NA,143777,"Santa Ana Public Library","library system","26 Civic Center Plz","Santa Ana","CA",92701,"Congressional District 46",2022,221038772,2299057922,2299057922.002,"In-Window","Committed","Funded","FCDL Issued","Charter Communications Operating, LLC",143050436,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",637,0,637,5,3185,12,38220,0,0,0,0,0,38220,0.9,34398,3822,NA,NA,NA,NA,NA,NA,5460,7,4914,NA,2020,"Data Connection between two or more sites entirely within the applicant’s network","Current","No","Yes",1000,1000,"gigabit","gigabit",335052,NA,11,"City Large","City","bandwidth target met","over50",2
"25",17015434,"CA0137",2,"library administration services headquarters","non-instructional facility (nif)",NA,NA,"Active","6115 State Farm Dr","Rohnert Park","CA",94928,NA,NA,38.3511867,-122.7068901,"Congressional District 5",NA,NA,NA,NA,NA,225495,"Cenic-Corporation For Education Network Initiatives In California","consortium","16700 Valley View Avenue, Suite 400","La Mirada","CA",90638,"Congressional District 38",2022,221024591,2299042222,2299042222.001,"In-Window","Committed","Funded","FCDL Issued","Pacific Bell Telephone Company",143002665,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",1108,0,1108,1,1108,12,13296,0,0,0,0,0,13296,0.6,7977.6,5318.4,NA,NA,NA,NA,NA,NA,13296,1,7977.6,NA,2020,"Data Connection between two or more sites entirely within the applicant’s network","Current","No","Yes",1000,1000,"gigabit","gigabit",492980,NA,12,"City Midsize","City","bandwidth target met","over50",2
"26",172444,"CA0137",2,"santa rosa central library","library","No","main branch, public library","Active","211 E St","Santa Rosa","CA",95404,NA,NA,38.441216,-122.7106191,"Congressional District 5","Urban",NA,NA,NA,NA,225495,"Cenic-Corporation For Education Network Initiatives In California","consortium","16700 Valley View Avenue, Suite 400","La Mirada","CA",90638,"Congressional District 38",2022,221024591,2299042288,2299042288.001,"In-Window","Committed","Funded","FCDL Issued","Pacific Bell Telephone Company",143002665,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps",1676.82,0,1676.82,2,3353.64,12,40243.68,0,0,0,0,0,40243.68,0.6,24146.208,16097.47,0,NA,NA,NA,NA,NA,40243.68,1,24146.208,NA,2020,"Data Connection between two or more sites entirely within the applicant’s network","Current","No","Yes",10000,10000,"gigabit","gigabit",492980,NA,12,"City Midsize","City","bandwidth target met","over50",2
"27",172444,"CA0137",2,"santa rosa central library","library","No","main branch, public library","Active","211 E St","Santa Rosa","CA",95404,NA,NA,38.441216,-122.7106191,"Congressional District 5","Urban",NA,NA,NA,NA,225495,"Cenic-Corporation For Education Network Initiatives In California","consortium","16700 Valley View Avenue, Suite 400","La Mirada","CA",90638,"Congressional District 38",2022,221024591,2299042306,2299042306.001,"In-Window","Committed","Funded","FCDL Issued","Pacific Bell Telephone Company",143002665,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps",780,0,780,1,780,12,9360,0,0,0,0,0,9360,0.6,5616,3744,0,1,NA,NA,NA,NA,9360,1,5616,NA,2020,"Data connection(s) for an applicant’s hub site to an Internet Service Provider or state/regional network where Internet access service is billed separately","Current","Yes","No",10000,10000,"gigabit","gigabit",492980,NA,12,"City Midsize","City","bandwidth target met","over50",2
"28",172444,"CA0137",2,"santa rosa central library","library","No","main branch, public library","Active","211 E St","Santa Rosa","CA",95404,NA,NA,38.441216,-122.7106191,"Congressional District 5","Urban",NA,NA,NA,NA,225495,"Cenic-Corporation For Education Network Initiatives In California","consortium","16700 Valley View Avenue, Suite 400","La Mirada","CA",90638,"Congressional District 38",2022,221024591,2299042593,2299042593.001,"In-Window","Committed","Funded","FCDL Issued","Pacific Bell Telephone Company",143002665,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps",780,0,780,1,780,12,9360,0,0,0,0,0,9360,0.6,5616,3744,0,1,NA,NA,NA,NA,9360,1,5616,NA,2020,"Data connection(s) for an applicant’s hub site to an Internet Service Provider or state/regional network where Internet access service is billed separately","Current","Yes","No",10000,10000,"gigabit","gigabit",492980,NA,12,"City Midsize","City","bandwidth target met","over50",2
